Symbol,TradeDate,VolatilityPct,Open,High,Low,Close,TotalVolume,DrasticChangeTime,DrasticChangePct,Action
ADANIENT,2024-06-04,22.330966,3520.000000,3520.000000,2733.950000,2950.000000,20210418,2024-06-04T12:26:00+05:30,12.386840,buy
ADANIENT,2024-06-05,13.201320,3030.000000,3150.000000,2750.000000,3093.000000,8731217,2024-06-05T10:40:00+05:30,8.347213,buy
SBIN,2024-06-04,18.400223,897.000000,897.000000,731.950000,781.300000,121867670,2024-06-04T12:26:00+05:30,8.306233,buy
ADANIENT,2024-11-22,12.598762,2101.000000,2289.700000,2025.000000,2229.900000,20828509,2024-11-22T10:48:00+05:30,7.459868,buy
ADANIENT,2023-08-18,8.260343,2477.500000,2665.950000,2461.300000,2570.800000,14566785,2023-08-18T11:05:00+05:30,7.143718,buy
TATAMOTORS,2024-06-04,9.767932,948.000000,948.000000,855.400000,904.950000,26430372,2024-06-04T12:28:00+05:30,6.616787,buy
ITC,2025-02-01,7.131696,448.000000,471.500000,439.550000,461.550000,30298022,2025-02-01T11:59:00+05:30,6.349926,buy
MARUTI,2025-02-01,7.478490,12320.000000,13150.000000,12228.650000,12910.000000,1095252,2025-02-01T11:56:00+05:30,6.347704,buy
ADANIENT,2023-11-28,10.317253,2301.000000,2512.400000,2275.000000,2428.450000,11837748,2023-11-28T10:33:00+05:30,6.255022,buy
ADANIENT,2024-11-21,15.133794,2539.350000,2539.350000,2155.050000,2158.750000,21761303,2024-11-21T10:49:00+05:30,6.117376,buy
HINDUNILVR,2025-02-01,6.741414,2475.000000,2602.000000,2435.150000,2505.000000,2964133,2025-02-01T12:10:00+05:30,6.069406,buy
MARUTI,2024-06-04,8.222457,12596.600000,12597.200000,11561.450000,12204.650000,819319,2024-06-04T12:29:00+05:30,5.941879,buy
BHARTIARTL,2024-06-04,12.792035,1391.100000,1397.000000,1219.050000,1291.950000,19673511,2024-06-04T12:39:00+05:30,5.697901,buy
SUNPHARMA,2024-06-04,6.780241,1461.600000,1476.300000,1377.200000,1453.800000,5040514,2024-06-04T12:29:00+05:30,5.461257,buy
ADANIENT,2024-11-27,12.653670,2180.000000,2418.000000,2142.150000,2401.000000,17446287,2024-11-27T10:36:00+05:30,5.173388,buy
TATAMOTORS,2023-12-29,6.476821,755.000000,802.900000,754.000000,779.400000,40794922,2023-12-29T10:15:00+05:30,4.940531,buy
WIPRO,2023-12-22,7.427366,213.400000,228.600000,212.750000,226.300000,45571998,2023-12-22T13:19:00+05:30,4.786245,buy
RELIANCE,2024-06-04,9.262041,1498.050000,1498.050000,1359.300000,1416.250000,36307956,2024-06-04T12:29:00+05:30,4.756124,buy
ADANIENT,2024-05-23,8.567491,3156.700000,3406.000000,3135.550000,3398.000000,6970472,2024-05-23T12:14:00+05:30,4.446918,buy
ADANIENT,2023-10-04,4.599950,2402.200000,2502.750000,2392.250000,2464.300000,2840288,2023-10-04T10:29:00+05:30,4.352993,buy
ADANIENT,2024-01-03,7.988185,3047.000000,3199.000000,2955.600000,3004.800000,19483834,2024-01-03T10:38:00+05:30,-7.498437,sell
HCLTECH,2024-06-04,6.792453,1325.000000,1325.000000,1235.000000,1319.950000,5422012,2024-06-04T11:52:00+05:30,-6.329402,sell
HINDUNILVR,2025-04-24,7.026157,2423.800000,2487.400000,2317.100000,2325.500000,7043685,2025-04-24T10:25:00+05:30,-6.418620,sell
ICICIBANK,2024-06-04,9.141549,1157.900000,1159.400000,1053.550000,1089.000000,43210660,2024-06-04T11:23:00+05:30,-5.915656,sell
