metric,value
Free Cash Flow,27584600000.0
Repayment Of Debt,-17106900000.0
Issuance Of Debt,74458700000.0
Issuance Of Capital Stock,0.0
Capital Expenditure,-91410400000.0
End Cash Position,11258200000.0
Other Cash Adjustment Outside Changein Cash,30576600000.0
Beginning Cash Position,86760500000.0
Changes In Cash,-106078900000.0
Other Cash Adjustment Inside Changein Cash,-2135100000.0
Financing Cash Flow,-27338000000.0
Net Other Financing Charges,4377700000.0
Interest Paid Cff,-23710000000.0
Cash Dividends Paid,-10929100000.0
Common Stock Dividend Paid,
Net Common Stock Issuance,0.0
Common Stock Issuance,0.0
Net Issuance Payments Of Debt,3453500000.0
Net Short Term Debt Issuance,-53898300000.0
Short Term Debt Payments,
Short Term Debt Issuance,
Net Long Term Debt Issuance,57351800000.0
Long Term Debt Payments,-17106900000.0
Long Term Debt Issuance,74458700000.0
Investing Cash Flow,-195600800000.0
Net Other Investing Changes,5490000000.0
Interest Received Cfi,14610000000.0
Dividends Received Cfi,3500000.0
Net Investment Purchase And Sale,4073000000.0
Sale Of Investment,7279400000.0
Purchase Of Investment,-3206400000.0
Net Business Purchase And Sale,-144307800000.0
Sale Of Business,0.0
Purchase Of Business,-144307800000.0
Net PPE Purchase And Sale,-89372500000.0
Sale Of PPE,2037900000.0
Purchase Of PPE,-91410400000.0
Operating Cash Flow,118995000000.0
Taxes Refund Paid,-8474000000.0
Change In Working Capital,-8741300000.0
Change In Other Current Liabilities,4615900000.0
Change In Other Current Assets,-5177300000.0
Change In Payable,1327300000.0
Change In Inventory,-666600000.0
Change In Receivables,-7477400000.0
Other Non Cash Items,25175300000.0
Provisionand Write Offof Assets,
Depreciation And Amortization,34247100000.0
Depreciation,34247100000.0
Gain Loss On Investment Securities,-2595300000.0
Net Foreign Currency Exchange Gain Loss,25277600000.0
Gain Loss On Sale Of PPE,-603200000.0
Gain Loss On Sale Of Business,0.0
Net Income From Continuing Operations,54868900000.0
