metric,value
Tax Effect Of Unusual Items,-168596750.0
Tax Rate For Calcs,0.0175
Normalized EBITDA,124320700000.0
Total Unusual Items,-9634100000.0
Total Unusual Items Excluding Goodwill,-9634100000.0
Net Income From Continuing Operation Net Minority Interest,53088500000.0
Reconciled Depreciation,34247100000.0
Reconciled Cost Of Revenue,90617600000.0
EBITDA,114686600000.0
EBIT,80439500000.0
Net Interest Income,-13491900000.0
Interest Expense,25570600000.0
Interest Income,12462800000.0
Normalized Income,62554003250.0
Net Income From Continuing And Discontinued Operation,53088500000.0
Total Expenses,113391600000.0
Rent Expense Supplemental,1344500000.0
Diluted Average Shares,2160138945.0
Basic Average Shares,2160138945.0
Diluted EPS,24.58
Basic EPS,24.58
Diluted NI Availto Com Stockholders,53088500000.0
Net Income Common Stockholders,53088500000.0
Otherunder Preferred Stock Dividend,0.0
Preferred Stock Dividends,0.0
Net Income,53088500000.0
Minority Interests,-820000000.0
Net Income Including Noncontrolling Interests,53908500000.0
Net Income Extraordinary,0.0
Net Income Continuous Operations,53908500000.0
Tax Provision,960400000.0
Pretax Income,54868900000.0
Other Non Operating Income Expenses,1249300000.0
Special Income Charges,-12130600000.0
Other Special Charges,12130600000.0
Write Off,
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-13491900000.0
Total Other Finance Cost,384100000.0
Interest Expense Non Operating,25570600000.0
Interest Income Non Operating,12462800000.0
Operating Income,95127500000.0
Operating Expense,22774000000.0
Other Operating Expenses,16170600000.0
Selling General And Administration,6650900000.0
Selling And Marketing Expense,2525700000.0
General And Administrative Expense,4125200000.0
Gross Profit,117901500000.0
Cost Of Revenue,90617600000.0
Total Revenue,208519100000.0
Operating Revenue,208519100000.0
