metric,value
Tax Effect Of Unusual Items,-485198266.925596
Tax Rate For Calcs,0.273043
Normalized EBITDA,63108800000.0
Total Unusual Items,455500000.0
Total Unusual Items Excluding Goodwill,-1777000000.0
Net Income From Continuing Operation Net Minority Interest,36672300000.0
Reconciled Depreciation,10263400000.0
Reconciled Cost Of Revenue,195923600000.0
EBITDA,63564300000.0
EBIT,53300900000.0
Net Interest Income,-471800000.0
Interest Expense,2270200000.0
Interest Income,1798400000.0
Normalized Income,40196601733.0744
Net Income From Continuing And Discontinued Operation,36672300000.0
Total Expenses,288274600000.0
Rent Expense Supplemental,
Diluted Average Shares,958873609.0
Basic Average Shares,958721421.0
Diluted EPS,38.25
Basic EPS,38.25
Diluted NI Availto Com Stockholders,36672300000.0
Net Income Common Stockholders,36672300000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,36672300000.0
Minority Interests,-424800000.0
Net Income Including Noncontrolling Interests,37097100000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,37097100000.0
Tax Provision,13933600000.0
Pretax Income,51030700000.0
Other Non Operating Income Expenses,1621100000.0
Special Income Charges,-3601300000.0
Other Special Charges,1308200000.0
Write Off,60600000.0
Net Non Operating Interest Income Expense,-471800000.0
Interest Expense Non Operating,2270200000.0
Interest Income Non Operating,1798400000.0
Operating Income,49877100000.0
Operating Expense,92351000000.0
Other Operating Expenses,21165200000.0
Depreciation And Amortization In Income Statement,10263400000.0
Amortization,310900000.0
Depreciation Income Statement,9952500000.0
Selling General And Administration,35769100000.0
Selling And Marketing Expense,35389900000.0
General And Administrative Expense,379200000.0
Rent And Landing Fees,
Gross Profit,142228100000.0
Cost Of Revenue,195923600000.0
Total Revenue,338151700000.0
Operating Revenue,338151700000.0
