metric,value
Ordinary Shares Number,3097369066.0
Share Issued,3097369066.0
Net Debt,1035375800000.0
Total Debt,2206867500000.0
Tangible Book Value,1853495200000.0
Invested Capital,4079222400000.0
Net Tangible Assets,1853495200000.0
Common Stock Equity,1872354900000.0
Total Capitalization,4079222400000.0
Total Equity Gross Minority Interest,1878706200000.0
Minority Interest,6351300000.0
Stockholders Equity,1872354900000.0
Other Equity Interest,11826600000.0
Retained Earnings,848140800000.0
Additional Paid In Capital,533580700000.0
Capital Stock,6194700000.0
Common Stock,6194700000.0
Total Liabilities Net Minority Interest,14690919900000.0
Derivative Product Liabilities,199285400000.0
Long Term Debt And Capital Lease Obligation,2206867500000.0
Payables,100047800000.0
Other Payable,61938000000.0
Dividends Payable,
Accounts Payable,38109800000.0
Total Assets,16569626100000.0
Investments And Advances,2455384000000.0
Investmentin Financial Assets,2445116200000.0
Available For Sale Securities,87569500000.0
Long Term Equity Investment,10267800000.0
Investmentsin Joint Venturesat Cost,
Investmentsin Associatesat Cost,10267800000.0
Investmentsin Subsidiariesat Cost,
Goodwill And Other Intangible Assets,18859700000.0
Goodwill,18859700000.0
Net PPE,64920800000.0
Accumulated Depreciation,-217279800000.0
Gross PPE,282200600000.0
Construction In Progress,1205800000.0
Other Properties,278898800000.0
Buildings And Improvements,2096000000.0
Properties,
Prepaid Assets,12009700000.0
Receivables,311447800000.0
Cash And Cash Equivalents,1171491700000.0
Cash Equivalents,99302900000.0
Cash Financial,80739400000.0
Cash Cash Equivalents And Federal Funds Sold,1171491700000.0
