metric,value
Free Cash Flow,267283300000.0
Repayment Of Debt,
Issuance Of Debt,
Issuance Of Capital Stock,2770300000.0
Capital Expenditure,-14089700000.0
End Cash Position,1123435100000.0
Beginning Cash Position,634243600000.0
Effect Of Exchange Rate Changes,1198700000.0
Changes In Cash,487992800000.0
Financing Cash Flow,478940800000.0
Net Other Financing Charges,876000000.0
Cash Dividends Paid,
Common Stock Dividend Paid,
Net Common Stock Issuance,2770300000.0
Common Stock Issuance,2770300000.0
Net Issuance Payments Of Debt,475294500000.0
Net Long Term Debt Issuance,475294500000.0
Long Term Debt Payments,
Long Term Debt Issuance,
Investing Cash Flow,-272321000000.0
Net Investment Purchase And Sale,-258303800000.0
Net Business Purchase And Sale,0.0
Purchase Of Business,0.0
Net PPE Purchase And Sale,-14017200000.0
Sale Of PPE,72500000.0
Purchase Of PPE,-14089700000.0
Operating Cash Flow,281373000000.0
Taxes Refund Paid,-44460600000.0
Change In Working Capital,21713600000.0
Change In Other Current Liabilities,74014500000.0
Change In Other Current Assets,29200400000.0
Other Non Cash Items,8237800000.0
Stock Based Compensation,1507700000.0
Provisionand Write Offof Assets,98049700000.0
Depreciation And Amortization,10489900000.0
Depreciation,10489900000.0
Gain Loss On Investment Securities,-2644800000.0
Gain Loss On Sale Of PPE,61100000.0
Net Income From Continuing Operations,188418600000.0
