metric,value
Tax Effect Of Unusual Items,-922798902.678927
Tax Rate For Calcs,0.234475
Total Unusual Items,-3935600000.0
Total Unusual Items Excluding Goodwill,-3935600000.0
Net Income From Continuing Operation Net Minority Interest,280551100000.0
Reconciled Depreciation,17669700000.0
Net Interest Income,563377800000.0
Interest Expense,710363100000.0
Interest Income,1273740900000.0
Normalized Income,283563901097.32104
Net Income From Continuing And Discontinued Operation,280551100000.0
Diluted Average Shares,3111000000.0
Basic Average Shares,3092600000.0
Diluted EPS,90.18
Basic EPS,90.72
Diluted NI Availto Com Stockholders,280551100000.0
Net Income Common Stockholders,280551100000.0
Net Income,280551100000.0
Minority Interests,-1356900000.0
Net Income Including Noncontrolling Interests,281908000000.0
Net Income Extraordinary,0.0
Net Income Continuous Operations,281908000000.0
Tax Provision,86104200000.0
Pretax Income,367221600000.0
Special Income Charges,-3935600000.0
Other Special Charges,3943600000.0
Restructuring And Mergern Acquisition,-8000000.0
Gain On Sale Of Security,20452200000.0
Operating Expense,398617100000.0
Other Operating Expenses,201407600000.0
Depreciation And Amortization In Income Statement,17669700000.0
Amortization,
Depreciation Income Statement,17669700000.0
Selling General And Administration,3957400000.0
Selling And Marketing Expense,1754000000.0
General And Administrative Expense,2203400000.0
Insurance And Claims,17949600000.0
Rent And Landing Fees,20901600000.0
Total Revenue,848908400000.0
Operating Revenue,848908400000.0
