metric,value
Treasury Shares Number,1673502.0
Ordinary Shares Number,1594988595.0
Share Issued,1596662097.0
Net Debt,2771297100000.0
Total Debt,2844515200000.0
Tangible Book Value,700930500000.0
Invested Capital,3553420200000.0
Net Tangible Assets,700930500000.0
Capital Lease Obligations,15048100000.0
Common Stock Equity,723953100000.0
Total Capitalization,3240978000000.0
Total Equity Gross Minority Interest,1284342300000.0
Minority Interest,560389200000.0
Stockholders Equity,723953100000.0
Other Equity Interest,8174100000.0
Treasury Stock,639100000.0
Retained Earnings,455702700000.0
Additional Paid In Capital,143135000000.0
Capital Stock,1596000000.0
Common Stock,1596000000.0
Total Liabilities Net Minority Interest,5237973800000.0
Derivative Product Liabilities,760300000.0
Non Current Pension And Other Postretirement Benefit Plans,1467200000.0
Non Current Deferred Taxes Liabilities,7125100000.0
Long Term Debt And Capital Lease Obligation,2532073000000.0
Long Term Capital Lease Obligation,15048100000.0
Long Term Debt,2517024900000.0
Long Term Provisions,6766600000.0
Current Debt And Capital Lease Obligation,312442200000.0
Current Debt,312442200000.0
Payables,145906300000.0
Other Payable,51246700000.0
Dividends Payable,51700000.0
Total Tax Payable,14959400000.0
Accounts Payable,79648500000.0
Total Assets,6522316100000.0
Non Current Deferred Taxes Assets,12015400000.0
Financial Assets,10325200000.0
Investments And Advances,1927342300000.0
Investmentin Financial Assets,1068123500000.0
Available For Sale Securities,74912300000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,982886000000.0
Long Term Equity Investment,4003300000.0
Investmentsin Joint Venturesat Cost,4003300000.0
Investment Properties,290600000.0
Goodwill And Other Intangible Assets,23022600000.0
Other Intangible Assets,14994200000.0
Goodwill,8028400000.0
Net PPE,48853600000.0
Accumulated Depreciation,-29018900000.0
Gross PPE,77872500000.0
Construction In Progress,7284700000.0
Other Properties,32602800000.0
Machinery Furniture Equipment,19711400000.0
Buildings And Improvements,11528300000.0
Land And Improvements,6745300000.0
Prepaid Assets,
Other Receivables,15113400000.0
Taxes Receivable,15108600000.0
Accounts Receivable,83193500000.0
Cash Cash Equivalents And Short Term Investments,913385500000.0
Other Short Term Investments,855215500000.0
Cash And Cash Equivalents,58170000000.0
