metric,value
Free Cash Flow,-669375000000.0
Repayment Of Debt,-343759100000.0
Issuance Of Debt,946898100000.0
Issuance Of Capital Stock,91690900000.0
Capital Expenditure,-14354600000.0
End Cash Position,85792300000.0
Beginning Cash Position,55043700000.0
Changes In Cash,30748600000.0
Financing Cash Flow,827086100000.0
Net Other Financing Charges,147599300000.0
Cash Dividends Paid,-11834000000.0
Common Stock Dividend Paid,-11834000000.0
Net Common Stock Issuance,91690900000.0
Common Stock Issuance,91690900000.0
Net Issuance Payments Of Debt,603139000000.0
Net Short Term Debt Issuance,220235000000.0
Short Term Debt Issuance,220235000000.0
Net Long Term Debt Issuance,382904000000.0
Long Term Debt Payments,-343759100000.0
Long Term Debt Issuance,726663100000.0
Investing Cash Flow,-141317100000.0
Net Other Investing Changes,57242200000.0
Interest Received Cfi,11585600000.0
Dividends Received Cfi,
Net Investment Purchase And Sale,-182398300000.0
Sale Of Investment,1391598000000.0
Purchase Of Investment,-1573996300000.0
Net Business Purchase And Sale,-2674700000.0
Purchase Of Business,-2674700000.0
Net Intangibles Purchase And Sale,-4741600000.0
Purchase Of Intangibles,-4741600000.0
Net PPE Purchase And Sale,-8351300000.0
Sale Of PPE,1261700000.0
Purchase Of PPE,-9613000000.0
Operating Cash Flow,-655020400000.0
Taxes Refund Paid,-59749600000.0
Interest Received Cfo,467975200000.0
Interest Paid Cfo,-172387100000.0
Change In Working Capital,-777632600000.0
Change In Other Current Liabilities,15442800000.0
Change In Other Current Assets,-897640400000.0
Change In Payable,13598200000.0
Change In Receivables,-25978500000.0
Other Non Cash Items,-355193300000.0
Stock Based Compensation,3925200000.0
Provisionand Write Offof Assets,26600000.0
Depreciation And Amortization,9001300000.0
Amortization Cash Flow,2572500000.0
Depreciation,6428800000.0
Pension And Employee Benefit Expense,-1200000.0
Gain Loss On Investment Securities,-32002600000.0
Gain Loss On Sale Of PPE,116100000.0
Net Income From Continuing Operations,213750300000.0
