metric,value
Tax Effect Of Unusual Items,-33555838.143853
Tax Rate For Calcs,0.270394
Total Unusual Items,-124100000.0
Total Unusual Items Excluding Goodwill,-124100000.0
Net Income From Continuing Operation Net Minority Interest,81477900000.0
Reconciled Depreciation,9001300000.0
EBIT,397745400000.0
Net Interest Income,-186065300000.0
Interest Expense,183995100000.0
Interest Income,539511700000.0
Normalized Income,81568444161.85614
Net Income From Continuing And Discontinued Operation,81477900000.0
Total Expenses,785050400000.0
Rent Expense Supplemental,840000000.0
Diluted Average Shares,1608289294.0
Basic Average Shares,1592815460.0
Diluted EPS,50.7
Basic EPS,51.2
Diluted NI Availto Com Stockholders,81477900000.0
Net Income Common Stockholders,81477900000.0
Net Income,81477900000.0
Minority Interests,-74475700000.0
Net Income Including Noncontrolling Interests,155953600000.0
Net Income Continuous Operations,155953600000.0
Tax Provision,57796700000.0
Pretax Income,213750300000.0
Other Income Expense,3511100000.0
Special Income Charges,-124100000.0
Other Special Charges,124100000.0
Net Non Operating Interest Income Expense,-186065300000.0
Total Other Finance Cost,2070200000.0
Interest Expense Non Operating,183995100000.0
Other Operating Expenses,79170900000.0
Depreciation And Amortization In Income Statement,9001300000.0
Amortization,2572500000.0
Depreciation Income Statement,6428800000.0
Selling General And Administration,15425700000.0
Selling And Marketing Expense,12644400000.0
General And Administrative Expense,2781300000.0
Rent And Landing Fees,840000000.0
Total Revenue,998800700000.0
Operating Revenue,998800700000.0
Net Policyholder Benefits And Claims,218440400000.0
