metric,value
Treasury Shares Number,9883290.0
Ordinary Shares Number,6180079910.0
Share Issued,6189963200.0
Net Debt,2100675800000.0
Total Debt,2184371100000.0
Tangible Book Value,757856600000.0
Invested Capital,2941313000000.0
Net Tangible Assets,757856600000.0
Common Stock Equity,766953500000.0
Total Capitalization,2941313000000.0
Total Equity Gross Minority Interest,766953500000.0
Minority Interest,0.0
Stockholders Equity,766953500000.0
Other Equity Interest,10085100000.0
Retained Earnings,370804100000.0
Additional Paid In Capital,265820000000.0
Capital Stock,1238000000.0
Common Stock,1238000000.0
Total Liabilities Net Minority Interest,2990462700000.0
Derivative Product Liabilities,21200000.0
Long Term Debt And Capital Lease Obligation,2184371100000.0
Payables,35204200000.0
Other Payable,13446700000.0
Dividends Payable,30700000.0
Total Tax Payable,1086400000.0
Accounts Payable,20640400000.0
Total Assets,3757416200000.0
Investments And Advances,88077700000.0
Investmentin Financial Assets,84383500000.0
Available For Sale Securities,41417300000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,42687800000.0
Long Term Equity Investment,3694200000.0
Investmentsin Associatesat Cost,3694200000.0
Goodwill And Other Intangible Assets,9096900000.0
Other Intangible Assets,9064200000.0
Goodwill,32700000.0
Net PPE,24079300000.0
Accumulated Depreciation,-14428600000.0
Gross PPE,38507900000.0
Construction In Progress,496100000.0
Other Properties,4106400000.0
Machinery Furniture Equipment,12051600000.0
Buildings And Improvements,19120700000.0
Land And Improvements,2733100000.0
Prepaid Assets,3609400000.0
Receivables,22881300000.0
Taxes Receivable,2909200000.0
Cash And Cash Equivalents,73683700000.0
Cash Financial,588400000.0
Cash Cash Equivalents And Federal Funds Sold,280449200000.0
