metric,value
Free Cash Flow,-429901100000.0
Repayment Of Debt,-364736400000.0
Issuance Of Debt,747840400000.0
Issuance Of Capital Stock,1581200000.0
Capital Expenditure,-8783200000.0
End Cash Position,15507500000.0
Other Cash Adjustment Outside Changein Cash,500000.0
Beginning Cash Position,33814400000.0
Changes In Cash,-18306900000.0
Financing Cash Flow,506750100000.0
Net Other Financing Charges,135569200000.0
Cash Dividends Paid,-12068600000.0
Common Stock Dividend Paid,-12068600000.0
Net Common Stock Issuance,1581200000.0
Common Stock Issuance,1581200000.0
Net Issuance Payments Of Debt,383104000000.0
Net Short Term Debt Issuance,79236600000.0
Short Term Debt Issuance,79236600000.0
Net Long Term Debt Issuance,303867400000.0
Long Term Debt Payments,-364736400000.0
Long Term Debt Issuance,668603800000.0
Investing Cash Flow,-103939100000.0
Interest Received Cfi,6067100000.0
Dividends Received Cfi,
Net Investment Purchase And Sale,-100493700000.0
Sale Of Investment,3083608100000.0
Purchase Of Investment,-3184101800000.0
Net Business Purchase And Sale,-927400000.0
Purchase Of Business,-927400000.0
Net Intangibles Purchase And Sale,-3924400000.0
Purchase Of Intangibles,-3924400000.0
Net PPE Purchase And Sale,-4660700000.0
Sale Of PPE,198100000.0
Purchase Of PPE,-4858800000.0
Operating Cash Flow,-421117900000.0
Taxes Refund Paid,-39721800000.0
Interest Received Cfo,350328400000.0
Interest Paid Cfo,-131073800000.0
Change In Working Capital,-562262700000.0
Change In Other Current Liabilities,-1810900000.0
Change In Other Current Assets,559200000.0
Change In Payable,5786200000.0
Change In Receivables,-934300000.0
Other Non Cash Items,-230500300000.0
Stock Based Compensation,2244100000.0
Provisionand Write Offof Assets,31896500000.0
Depreciation And Amortization,4853800000.0
Amortization Cash Flow,1420200000.0
Depreciation,3433600000.0
Gain Loss On Investment Securities,-3343200000.0
Gain Loss On Sale Of PPE,133300000.0
Net Income From Continuing Operations,155278600000.0
