metric,value
Tax Effect Of Unusual Items,-66891264.0
Tax Rate For Calcs,0.26048
Total Unusual Items,-256800000.0
Total Unusual Items Excluding Goodwill,-256800000.0
Net Income From Continuing Operation Net Minority Interest,70282300000.0
Reconciled Depreciation,3845700000.0
Net Interest Income,175236400000.0
Interest Expense,97537000000.0
Interest Income,272773400000.0
Normalized Income,70472208736.0
Net Income From Continuing And Discontinued Operation,70282300000.0
Diluted Average Shares,6069664590.0
Basic Average Shares,6025743030.0
Diluted EPS,11.579
Basic EPS,11.664
Diluted NI Availto Com Stockholders,70282300000.0
Net Income Common Stockholders,70282300000.0
Net Income,70282300000.0
Minority Interests,
Net Income Including Noncontrolling Interests,70282300000.0
Net Income Continuous Operations,70282300000.0
Tax Provision,24755500000.0
Pretax Income,95037800000.0
Special Income Charges,-256800000.0
Other Special Charges,248400000.0
Write Off,8400000.0
Gain On Sale Of Security,3277300000.0
Operating Expense,58001900000.0
Other Operating Expenses,15258200000.0
Depreciation And Amortization In Income Statement,3845700000.0
Depreciation Income Statement,3845700000.0
Selling General And Administration,2014400000.0
Selling And Marketing Expense,1764300000.0
General And Administrative Expense,250100000.0
Insurance And Claims,59900000.0
Rent And Landing Fees,501800000.0
Total Revenue,201322100000.0
Operating Revenue,201322100000.0
