metric,value
Tax Effect Of Unusual Items,-2229195547.289668
Tax Rate For Calcs,0.258039
Normalized EBITDA,681519000000.0
Total Unusual Items,-8639000000.0
Total Unusual Items Excluding Goodwill,-8639000000.0
Net Income From Continuing Operation Net Minority Interest,83459000000.0
Reconciled Depreciation,364318000000.0
Reconciled Cost Of Revenue,512726000000.0
EBITDA,672880000000.0
EBIT,308562000000.0
Net Interest Income,-165431000000.0
Interest Expense,142955000000.0
Interest Income,3080000000.0
Normalized Income,89868804452.71033
Net Income From Continuing And Discontinued Operation,83459000000.0
Total Expenses,1039462000000.0
Diluted Average Shares,5728459000.0
Basic Average Shares,5640723000.0
Diluted EPS,14.57
Basic EPS,14.8
Diluted NI Availto Com Stockholders,83459000000.0
Average Dilution Earnings,
Net Income Common Stockholders,83459000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,83459000000.0
Minority Interests,-39415000000.0
Net Income Including Noncontrolling Interests,122874000000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,122874000000.0
Tax Provision,42733000000.0
Pretax Income,165607000000.0
Other Non Operating Income Expenses,1645000000.0
Special Income Charges,-8100000000.0
Other Special Charges,6698000000.0
Write Off,1402000000.0
Impairment Of Capital Assets,
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-165431000000.0
Total Other Finance Cost,25556000000.0
Interest Expense Non Operating,142955000000.0
Interest Income Non Operating,3080000000.0
Operating Income,351986000000.0
Operating Expense,526736000000.0
Other Operating Expenses,39578000000.0
Depreciation And Amortization In Income Statement,364318000000.0
Amortization,79005000000.0
Depreciation Income Statement,285313000000.0
Selling General And Administration,76699000000.0
Selling And Marketing Expense,72454000000.0
General And Administrative Expense,4245000000.0
Gross Profit,878722000000.0
Cost Of Revenue,512726000000.0
Total Revenue,1391448000000.0
Operating Revenue,1391448000000.0
