metric,value
Free Cash Flow,117899000000.0
Repayment Of Debt,-87819700000.0
Issuance Of Debt,72442300000.0
Issuance Of Capital Stock,4624000000.0
Capital Expenditure,-85457300000.0
End Cash Position,20555400000.0
Beginning Cash Position,75291600000.0
Changes In Cash,-54736200000.0
Financing Cash Flow,-176716800000.0
Net Other Financing Charges,
Interest Paid Cff,-17752700000.0
Cash Dividends Paid,-144827800000.0
Common Stock Dividend Paid,-144827800000.0
Net Common Stock Issuance,4624000000.0
Common Stock Issuance,4624000000.0
Net Issuance Payments Of Debt,-9836400000.0
Net Short Term Debt Issuance,5541000000.0
Net Long Term Debt Issuance,-15377400000.0
Long Term Debt Payments,-87819700000.0
Long Term Debt Issuance,72442300000.0
Investing Cash Flow,-81375700000.0
Net Other Investing Changes,
Interest Received Cfi,9829000000.0
Dividends Received Cfi,8728600000.0
Net Investment Purchase And Sale,-5852900000.0
Sale Of Investment,207220000000.0
Purchase Of Investment,-213072900000.0
Net Business Purchase And Sale,-9205800000.0
Sale Of Business,0.0
Purchase Of Business,-9205800000.0
Net Intangibles Purchase And Sale,
Purchase Of Intangibles,
Net PPE Purchase And Sale,-84874600000.0
Sale Of PPE,582700000.0
Purchase Of PPE,-85457300000.0
Capital Expenditure Reported,
Operating Cash Flow,203356300000.0
Taxes Refund Paid,-17100000000.0
Change In Working Capital,13224400000.0
Change In Other Current Liabilities,130439800000.0
Change In Other Current Assets,
Change In Inventory,-96721800000.0
Change In Receivables,-20493600000.0
Other Non Cash Items,27562500000.0
Depreciation And Amortization,54343500000.0
Depreciation,54343500000.0
Gain Loss On Investment Securities,-18011800000.0
Net Foreign Currency Exchange Gain Loss,-268500000.0
Gain Loss On Sale Of PPE,-26000000.0
Gain Loss On Sale Of Business,0.0
Net Income From Continuing Operations,160367300000.0
