metric,value
Tax Effect Of Unusual Items,-1182504870.0
Tax Rate For Calcs,0.26651
Normalized EBITDA,294374500000.0
Total Unusual Items,-4437000000.0
Total Unusual Items Excluding Goodwill,-4437000000.0
Net Income From Continuing Operation Net Minority Interest,133365500000.0
Reconciled Depreciation,72566900000.0
Reconciled Cost Of Revenue,3997930200000.0
EBITDA,289937500000.0
EBIT,217370600000.0
Net Interest Income,-20020200000.0
Interest Expense,35547600000.0
Interest Income,15633700000.0
Normalized Income,136619995130.0
Net Income From Continuing And Discontinued Operation,133365500000.0
Total Expenses,4199935100000.0
Rent Expense Supplemental,7398800000.0
Diluted Average Shares,4272600000.0
Basic Average Shares,4272600000.0
Diluted EPS,31.21
Basic EPS,31.21
Diluted NI Availto Com Stockholders,133365500000.0
Net Income Common Stockholders,133365500000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,133365500000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,133365500000.0
Net Income Continuous Operations,133365500000.0
Tax Provision,48457500000.0
Pretax Income,181823000000.0
Other Non Operating Income Expenses,8508800000.0
Special Income Charges,-4967900000.0
Other Special Charges,3693800000.0
Write Off,63700000.0
Impairment Of Capital Assets,1210400000.0
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-20020200000.0
Total Other Finance Cost,106300000.0
Interest Expense Non Operating,35547600000.0
Interest Income Non Operating,15633700000.0
Operating Income,187442600000.0
Operating Expense,202004900000.0
Other Operating Expenses,164254900000.0
Selling General And Administration,11726900000.0
General And Administrative Expense,11726900000.0
Rent And Landing Fees,7398800000.0
Gross Profit,389447500000.0
Cost Of Revenue,3997930200000.0
Total Revenue,4387377700000.0
Operating Revenue,4387377700000.0
