metric,value
Tax Effect Of Unusual Items,147332200.0
Tax Rate For Calcs,0.2549
Normalized EBITDA,33183100000.0
Total Unusual Items,578000000.0
Total Unusual Items Excluding Goodwill,578000000.0
Net Income From Continuing Operation Net Minority Interest,21787300000.0
Reconciled Depreciation,3133400000.0
Reconciled Cost Of Revenue,106736500000.0
EBITDA,33761100000.0
EBIT,30627700000.0
Net Interest Income,-60000000.0
Interest Expense,1362000000.0
Interest Income,1328000000.0
Normalized Income,21356632200.0
Net Income From Continuing And Discontinued Operation,21787300000.0
Total Expenses,146607900000.0
Rent Expense Supplemental,960800000.0
Diluted Average Shares,240868296.0
Basic Average Shares,240868296.0
Diluted EPS,90.45
Basic EPS,90.45
Diluted NI Availto Com Stockholders,21787300000.0
Net Income Common Stockholders,21787300000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,21787300000.0
Minority Interests,8700000.0
Net Income Including Noncontrolling Interests,21778600000.0
Net Income Continuous Operations,21778600000.0
Tax Provision,7487100000.0
Pretax Income,29265700000.0
Other Non Operating Income Expenses,91900000.0
Special Income Charges,-235500000.0
Other Special Charges,235500000.0
Write Off,
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-60000000.0
Total Other Finance Cost,26000000.0
Interest Expense Non Operating,1362000000.0
Interest Income Non Operating,1328000000.0
Operating Income,28742300000.0
Operating Expense,39871400000.0
Other Operating Expenses,20255100000.0
Depreciation And Amortization In Income Statement,3133400000.0
Amortization,34300000.0
Depreciation Income Statement,3099100000.0
Selling General And Administration,12556900000.0
Selling And Marketing Expense,12369900000.0
General And Administrative Expense,187000000.0
Rent And Landing Fees,960800000.0
Gross Profit,68613700000.0
Cost Of Revenue,106736500000.0
Total Revenue,175350200000.0
Operating Revenue,175350200000.0
