metric,value
Free Cash Flow,20547600000.0
Repayment Of Debt,-3519000000.0
Issuance Of Debt,
Issuance Of Capital Stock,700000.0
Capital Expenditure,-11828900000.0
End Cash Position,5613300000.0
Beginning Cash Position,6581100000.0
Effect Of Exchange Rate Changes,123700000.0
Changes In Cash,-1091500000.0
Financing Cash Flow,-9582900000.0
Net Other Financing Charges,-42700000.0
Interest Paid Cff,-650000000.0
Cash Dividends Paid,-4035000000.0
Common Stock Dividend Paid,-4035000000.0
Net Common Stock Issuance,700000.0
Common Stock Issuance,700000.0
Net Issuance Payments Of Debt,-3519000000.0
Net Short Term Debt Issuance,-3080000000.0
Short Term Debt Payments,-3080000000.0
Net Long Term Debt Issuance,-439000000.0
Long Term Debt Payments,-439000000.0
Long Term Debt Issuance,
Investing Cash Flow,-23885100000.0
Net Other Investing Changes,89400000.0
Interest Received Cfi,1140100000.0
Dividends Received Cfi,0.0
Net Investment Purchase And Sale,-13508200000.0
Sale Of Investment,0.0
Purchase Of Investment,-13508200000.0
Net Business Purchase And Sale,-251300000.0
Sale Of Business,257700000.0
Purchase Of Business,-509000000.0
Net Intangibles Purchase And Sale,-3235000000.0
Sale Of Intangibles,188600000.0
Purchase Of Intangibles,-3423600000.0
Net PPE Purchase And Sale,-8120100000.0
Sale Of PPE,285200000.0
Purchase Of PPE,-8405300000.0
Operating Cash Flow,32376500000.0
Taxes Refund Paid,-13018900000.0
Change In Working Capital,-5594200000.0
Change In Payable,-182100000.0
Change In Inventory,1107700000.0
Change In Receivables,-6519800000.0
Other Non Cash Items,-696600000.0
Stock Based Compensation,390400000.0
Provisionand Write Offof Assets,-366800000.0
Depreciation And Amortization,10191900000.0
Amortization Cash Flow,3141700000.0
Depreciation,7050200000.0
Gain Loss On Investment Securities,-1430700000.0
Net Foreign Currency Exchange Gain Loss,-562000000.0
Gain Loss On Sale Of PPE,-15800000.0
Gain Loss On Sale Of Business,0.0
Net Income From Continuing Operations,42207700000.0
