metric,value
Tax Effect Of Unusual Items,57440160.0
Tax Rate For Calcs,0.2712
Normalized EBITDA,68028700000.0
Total Unusual Items,211800000.0
Total Unusual Items Excluding Goodwill,211800000.0
Net Income From Continuing Operation Net Minority Interest,41215500000.0
Reconciled Depreciation,10510200000.0
Reconciled Cost Of Revenue,95923800000.0
EBITDA,68240500000.0
EBIT,57730300000.0
Net Interest Income,1297100000.0
Interest Expense,711300000.0
Interest Income,2195900000.0
Normalized Income,41061140160.0
Net Income From Continuing And Discontinued Operation,41215500000.0
Total Expenses,200779700000.0
Rent Expense Supplemental,926500000.0
Diluted Average Shares,807998981.0
Basic Average Shares,807291686.0
Diluted EPS,51.01
Basic EPS,51.05
Diluted NI Availto Com Stockholders,41215500000.0
Net Income Common Stockholders,41215500000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,41215500000.0
Minority Interests,-321700000.0
Net Income Including Noncontrolling Interests,41537200000.0
Net Income Continuous Operations,41537200000.0
Tax Provision,15465900000.0
Pretax Income,57019000000.0
Other Non Operating Income Expenses,814200000.0
Special Income Charges,-2700000000.0
Other Special Charges,-342300000.0
Impairment Of Capital Assets,3042300000.0
Net Non Operating Interest Income Expense,1297100000.0
Total Other Finance Cost,187500000.0
Interest Expense Non Operating,711300000.0
Interest Income Non Operating,2195900000.0
Operating Income,53686600000.0
Operating Expense,104855900000.0
Other Operating Expenses,22406400000.0
Depreciation And Amortization In Income Statement,9416100000.0
Amortization,2378700000.0
Depreciation Income Statement,7037400000.0
Research And Development,4304600000.0
Selling General And Administration,27839600000.0
Selling And Marketing Expense,17249700000.0
General And Administrative Expense,10589900000.0
Rent And Landing Fees,926500000.0
Gross Profit,158542500000.0
Cost Of Revenue,95923800000.0
Total Revenue,254466300000.0
Operating Revenue,254466300000.0
