metric,value
Free Cash Flow,159066900000.0
Capital Expenditure,-132929700000.0
End Cash Position,111602600000.0
Beginning Cash Position,53454600000.0
Changes In Cash,58148000000.0
Financing Cash Flow,-133085000000.0
Interest Paid Cff,-2251800000.0
Cash Dividends Paid,-162385200000.0
Common Stock Dividend Paid,
Net Issuance Payments Of Debt,32444600000.0
Net Short Term Debt Issuance,15110300000.0
Net Long Term Debt Issuance,17334300000.0
Investing Cash Flow,-100763600000.0
Interest Received Cfi,32622600000.0
Net Investment Purchase And Sale,-25400000.0
Net Business Purchase And Sale,-966700000.0
Purchase Of Business,-966700000.0
Net PPE Purchase And Sale,-132394100000.0
Sale Of PPE,535600000.0
Purchase Of PPE,-132929700000.0
Operating Cash Flow,291996600000.0
Taxes Refund Paid,-118802200000.0
Change In Working Capital,-61921100000.0
Change In Other Current Liabilities,34260000000.0
Change In Other Current Assets,-65076800000.0
Change In Payable,18199800000.0
Change In Inventory,-26829500000.0
Change In Receivables,14914600000.0
Other Non Cash Items,-91279000000.0
Provisionand Write Offof Assets,5406900000.0
Depreciation And Amortization,91607200000.0
Amortization Cash Flow,1559300000.0
Depreciation,90047900000.0
Gain Loss On Investment Securities,
Net Foreign Currency Exchange Gain Loss,70300000.0
Gain Loss On Sale Of PPE,5300000.0
Net Income From Continuing Operations,469661900000.0
