metric,value
Tax Effect Of Unusual Items,826377200.0
Tax Rate For Calcs,0.2344
Normalized EBITDA,559394700000.0
Total Unusual Items,3525500000.0
Total Unusual Items Excluding Goodwill,3525500000.0
Net Income From Continuing Operation Net Minority Interest,374022900000.0
Reconciled Depreciation,67444900000.0
Reconciled Cost Of Revenue,196702600000.0
EBITDA,562920200000.0
EBIT,495475300000.0
Net Interest Income,37651000000.0
Interest Expense,7349200000.0
Interest Income,45744400000.0
Normalized Income,371323777200.0
Net Income From Continuing And Discontinued Operation,374022900000.0
Total Expenses,857331800000.0
Rent Expense Supplemental,6356400000.0
Diluted Average Shares,6162728327.0
Basic Average Shares,6162728327.0
Diluted EPS,60.69
Basic EPS,60.69
Diluted NI Availto Com Stockholders,374022900000.0
Net Income Common Stockholders,374022900000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,374022900000.0
Minority Interests,331600000.0
Net Income Including Noncontrolling Interests,373691300000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,373691300000.0
Tax Provision,114434800000.0
Pretax Income,488126100000.0
Other Non Operating Income Expenses,29221200000.0
Special Income Charges,-627900000.0
Other Special Charges,-188500000.0
Write Off,816400000.0
Net Non Operating Interest Income Expense,37651000000.0
Total Other Finance Cost,744200000.0
Interest Expense Non Operating,7349200000.0
Interest Income Non Operating,45744400000.0
Operating Income,413412300000.0
Operating Expense,660629200000.0
Other Operating Expenses,350041100000.0
Research And Development,86700000.0
Selling General And Administration,5812200000.0
Selling And Marketing Expense,1019500000.0
General And Administrative Expense,4792700000.0
Rent And Landing Fees,6356400000.0
Gross Profit,1074041500000.0
Cost Of Revenue,196702600000.0
Total Revenue,1270744100000.0
Operating Revenue,1270744100000.0
