metric,value
Tax Effect Of Unusual Items,1345040000.0
Tax Rate For Calcs,0.23
Normalized EBITDA,82574000000.0
Total Unusual Items,5848000000.0
Total Unusual Items Excluding Goodwill,5848000000.0
Net Income From Continuing Operation Net Minority Interest,55684000000.0
Reconciled Depreciation,14841000000.0
Reconciled Cost Of Revenue,115557000000.0
EBITDA,88422000000.0
EBIT,73581000000.0
Net Interest Income,567000000.0
Interest Expense,1711000000.0
Interest Income,2278000000.0
Normalized Income,51181040000.0
Net Income From Continuing And Discontinued Operation,55684000000.0
Total Expenses,213856000000.0
Total Operating Income As Reported,67729000000.0
Diluted Average Shares,833542545.0
Basic Average Shares,831976016.0
Diluted EPS,66.918
Basic EPS,67.044
Diluted NI Availto Com Stockholders,55684000000.0
Net Income Common Stockholders,55684000000.0
Net Income,55684000000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,55684000000.0
Net Income Continuous Operations,55684000000.0
Tax Provision,16186000000.0
Pretax Income,71870000000.0
Other Income Expense,5995000000.0
Special Income Charges,2421000000.0
Gain On Sale Of Ppe,900000000.0
Other Special Charges,-1524000000.0
Write Off,3000000.0
Impairment Of Capital Assets,3000000.0
Earnings From Equity Interest,147000000.0
Gain On Sale Of Security,3427000000.0
Net Non Operating Interest Income Expense,567000000.0
Total Other Finance Cost,
Interest Expense Non Operating,1711000000.0
Interest Income Non Operating,2278000000.0
Operating Income,65308000000.0
Operating Expense,98299000000.0
Other Operating Expenses,-1775000000.0
Research And Development,22873000000.0
Selling General And Administration,77201000000.0
Gross Profit,163607000000.0
Cost Of Revenue,115557000000.0
Total Revenue,279164000000.0
Operating Revenue,279164000000.0
