metric,value
Tax Effect Of Unusual Items,701185138.816148
Tax Rate For Calcs,0.233099
Normalized EBITDA,40530500000.0
Total Unusual Items,3008100000.0
Total Unusual Items Excluding Goodwill,3008100000.0
Net Income From Continuing Operation Net Minority Interest,29139400000.0
Reconciled Depreciation,5262100000.0
Reconciled Cost Of Revenue,84741500000.0
EBITDA,43538600000.0
EBIT,38276500000.0
Net Interest Income,1491600000.0
Interest Expense,280200000.0
Interest Income,1771800000.0
Normalized Income,26832485138.816147
Net Income From Continuing And Discontinued Operation,29139400000.0
Total Expenses,112106400000.0
Rent Expense Supplemental,
Diluted Average Shares,273454538.0
Basic Average Shares,273454538.0
Diluted EPS,106.38
Basic EPS,106.56
Diluted NI Availto Com Stockholders,29139400000.0
Net Income Common Stockholders,29139400000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,29139400000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,29139400000.0
Net Income Continuous Operations,29139400000.0
Tax Provision,8856900000.0
Pretax Income,37996300000.0
Other Non Operating Income Expenses,497700000.0
Special Income Charges,-3100000.0
Other Special Charges,3100000.0
Write Off,
Net Non Operating Interest Income Expense,1491600000.0
Total Other Finance Cost,
Interest Expense Non Operating,280200000.0
Interest Income Non Operating,1771800000.0
Operating Income,29652600000.0
Operating Expense,27364900000.0
Other Operating Expenses,6640300000.0
Depreciation And Amortization In Income Statement,5262100000.0
Amortization,944200000.0
Depreciation Income Statement,4317900000.0
Research And Development,148200000.0
Selling General And Administration,8415300000.0
Selling And Marketing Expense,7414300000.0
General And Administrative Expense,1001000000.0
Rent And Landing Fees,
Gross Profit,57017500000.0
Cost Of Revenue,84741500000.0
Total Revenue,141759000000.0
Operating Revenue,141759000000.0
