metric,value
Free Cash Flow,845500000.0
Repurchase Of Capital Stock,
Repayment Of Debt,-107268100000.0
Issuance Of Debt,130599100000.0
Capital Expenditure,-125011700000.0
End Cash Position,11460300000.0
Other Cash Adjustment Outside Changein Cash,10000.0
Beginning Cash Position,2437700000.0
Effect Of Exchange Rate Changes,473500000.0
Changes In Cash,8549090000.0
Financing Cash Flow,-34573900000.0
Net Other Financing Charges,163800000.0
Interest Paid Cff,-13981700000.0
Cash Dividends Paid,-36205300000.0
Common Stock Dividend Paid,-36205300000.0
Net Common Stock Issuance,
Common Stock Payments,
Net Issuance Payments Of Debt,23331000000.0
Net Long Term Debt Issuance,23331000000.0
Long Term Debt Payments,-107268100000.0
Long Term Debt Issuance,130599100000.0
Investing Cash Flow,-82734210000.0
Net Other Investing Changes,-710000.0
Interest Received Cfi,3463300000.0
Dividends Received Cfi,4592000000.0
Net Investment Purchase And Sale,48300000.0
Sale Of Investment,122408300000.0
Purchase Of Investment,-122360000000.0
Net Business Purchase And Sale,33924800000.0
Sale Of Business,33924800000.0
Purchase Of Business,
Net PPE Purchase And Sale,-124874400000.0
Sale Of PPE,137300000.0
Purchase Of PPE,-125011700000.0
Operating Cash Flow,125857200000.0
Taxes Refund Paid,-32741100000.0
Change In Working Capital,11687000000.0
Change In Payable,-2119700000.0
Change In Inventory,-453100000.0
Change In Receivables,14259800000.0
Other Non Cash Items,2150800000.0
Provisionand Write Offof Assets,624200000.0
Depreciation And Amortization,37114800000.0
Depreciation,36720000000.0
Pension And Employee Benefit Expense,-92500000.0
Gain Loss On Investment Securities,-2960300000.0
Net Foreign Currency Exchange Gain Loss,3500000.0
Net Income From Continuing Operations,125950100000.0
