metric,value
Tax Effect Of Unusual Items,-456935421.495235
Tax Rate For Calcs,0.204345
Normalized EBITDA,183094900000.0
Total Unusual Items,-2236100000.0
Total Unusual Items Excluding Goodwill,-2236100000.0
Net Income From Continuing Operation Net Minority Interest,122560700000.0
Reconciled Depreciation,24218700000.0
Reconciled Cost Of Revenue,739220100000.0
EBITDA,180858800000.0
EBIT,156640100000.0
Net Interest Income,591500000.0
Interest Expense,2004900000.0
Interest Income,2596400000.0
Normalized Income,124339864578.50476
Net Income From Continuing And Discontinued Operation,122560700000.0
Total Expenses,793929800000.0
Rent Expense Supplemental,1146800000.0
Diluted Average Shares,6660577838.0
Basic Average Shares,6660577838.0
Diluted EPS,18.4
Basic EPS,18.4
Diluted NI Availto Com Stockholders,122560700000.0
Net Income Common Stockholders,122560700000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,122560700000.0
Minority Interests,-475600000.0
Net Income Including Noncontrolling Interests,123036300000.0
Net Income Continuous Operations,123036300000.0
Tax Provision,31598900000.0
Pretax Income,154635200000.0
Other Non Operating Income Expenses,499800000.0
Special Income Charges,-119400000.0
Other Special Charges,120800000.0
Write Off,6900000.0
Impairment Of Capital Assets,-8300000.0
Net Non Operating Interest Income Expense,591500000.0
Interest Expense Non Operating,2004900000.0
Interest Income Non Operating,2596400000.0
Operating Income,131390700000.0
Operating Expense,54709700000.0
Other Operating Expenses,10709400000.0
Depreciation And Amortization In Income Statement,24218700000.0
Depreciation Income Statement,24218700000.0
Research And Development,117300000.0
Selling General And Administration,3695200000.0
Selling And Marketing Expense,1704300000.0
General And Administrative Expense,1990900000.0
Rent And Landing Fees,1146800000.0
Gross Profit,186100400000.0
Cost Of Revenue,739220100000.0
Total Revenue,925320500000.0
Operating Revenue,925320500000.0
