metric,value
Tax Effect Of Unusual Items,1374124500.0
Tax Rate For Calcs,0.2835
Normalized EBITDA,195658800000.0
Total Unusual Items,4847000000.0
Total Unusual Items Excluding Goodwill,4847000000.0
Net Income From Continuing Operation Net Minority Interest,37056800000.0
Reconciled Depreciation,64537300000.0
Reconciled Cost Of Revenue,861136600000.0
EBITDA,200505800000.0
EBIT,135968500000.0
Net Interest Income,-22852300000.0
Interest Expense,27717900000.0
Interest Income,5052900000.0
Normalized Income,33583924500.0
Net Income From Continuing And Discontinued Operation,37056800000.0
Total Expenses,1351013300000.0
Rent Expense Supplemental,2599900000.0
Diluted Average Shares,667700058.0
Basic Average Shares,666876426.0
Diluted EPS,55.5
Basic EPS,55.57
Diluted NI Availto Com Stockholders,37056800000.0
Net Income Common Stockholders,37056800000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,37056800000.0
Minority Interests,-40506500000.0
Net Income Including Noncontrolling Interests,77563300000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,77563300000.0
Tax Provision,30687300000.0
Pretax Income,108250600000.0
Other Non Operating Income Expenses,2555100000.0
Special Income Charges,-1450100000.0
Other Special Charges,475800000.0
Write Off,93500000.0
Impairment Of Capital Assets,
Restructuring And Mergern Acquisition,880800000.0
Net Non Operating Interest Income Expense,-22852300000.0
Total Other Finance Cost,187300000.0
Interest Expense Non Operating,27717900000.0
Interest Income Non Operating,5052900000.0
Operating Income,120769400000.0
Operating Expense,489876700000.0
Other Operating Expenses,101046200000.0
Depreciation And Amortization In Income Statement,64537300000.0
Amortization,7381200000.0
Depreciation Income Statement,57156100000.0
Selling General And Administration,235769800000.0
Selling And Marketing Expense,232179400000.0
General And Administrative Expense,3590400000.0
Rent And Landing Fees,2599900000.0
Gross Profit,610646100000.0
Cost Of Revenue,861136600000.0
Total Revenue,1471782700000.0
Operating Revenue,1471782700000.0
