metric,value
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.20223
Normalized EBITDA,215960000000.0
Total Unusual Items,1150000000.0
Total Unusual Items Excluding Goodwill,1150000000.0
Net Income From Continuing Operation Net Minority Interest,134990000000.0
Reconciled Depreciation,43260000000.0
Reconciled Cost Of Revenue,475360000000.0
EBITDA,215960000000.0
EBIT,172700000000.0
Net Interest Income,-3190000000.0
Interest Expense,3190000000.0
Interest Income,5840000000.0
Normalized Income,134990000000.0
Net Income From Continuing And Discontinued Operation,134990000000.0
Total Expenses,569320000000.0
Rent Expense Supplemental,700000000.0
Diluted Average Shares,2712276472.0
Basic Average Shares,2712276472.0
Diluted EPS,49.77
Basic EPS,49.77
Diluted NI Availto Com Stockholders,134990000000.0
Net Income Common Stockholders,134990000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,134990000000.0
Minority Interests,-240000000.0
Net Income Including Noncontrolling Interests,135230000000.0
Net Income Continuous Operations,135230000000.0
Tax Provision,34280000000.0
Pretax Income,169510000000.0
Other Non Operating Income Expenses,-114480000000.0
Special Income Charges,150000000.0
Other Special Charges,-150000000.0
Net Non Operating Interest Income Expense,-3190000000.0
Total Other Finance Cost,720000000.0
Interest Expense Non Operating,3190000000.0
Interest Income Non Operating,5840000000.0
Operating Income,287190000000.0
Operating Expense,93960000000.0
Other Operating Expenses,50700000000.0
Depreciation And Amortization In Income Statement,43260000000.0
Depreciation Income Statement,43260000000.0
Research And Development,205000000.0
Selling General And Administration,11140000000.0
General And Administrative Expense,11140000000.0
Rent And Landing Fees,700000000.0
Gross Profit,381150000000.0
Cost Of Revenue,475360000000.0
Total Revenue,856510000000.0
Operating Revenue,856510000000.0
