metric,value
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.2508
Total Unusual Items,
Total Unusual Items Excluding Goodwill,
Net Income From Continuing Operation Net Minority Interest,495446900000.0
Reconciled Depreciation,23489700000.0
Net Interest Income,913988500000.0
Interest Expense,775538200000.0
Interest Income,1689526700000.0
Normalized Income,495446900000.0
Net Income From Continuing And Discontinued Operation,495446900000.0
Diluted Average Shares,5587173328.0
Basic Average Shares,11131241124.0
Diluted EPS,88.68
Basic EPS,44.51
Diluted NI Availto Com Stockholders,495446900000.0
Net Income Common Stockholders,495446900000.0
Net Income,495446900000.0
Minority Interests,-817500000.0
Net Income Including Noncontrolling Interests,496264400000.0
Net Income Extraordinary,
Net Income Continuous Operations,496264400000.0
Tax Provision,166117400000.0
Pretax Income,662381800000.0
Other Non Operating Income Expenses,
Special Income Charges,
Gain On Sale Of Security,14574900000.0
Depreciation Amortization Depletion Income Statement,23489700000.0
Depreciation And Amortization In Income Statement,23489700000.0
Amortization,0.0
Amortization Of Intangibles Income Statement,0.0
Depreciation Income Statement,23489700000.0
Selling General And Administration,400219800000.0
General And Administrative Expense,400219800000.0
Other Gand A,200493000000.0
Insurance And Claims,0.0
Salaries And Wages,199726800000.0
Total Revenue,1205375000000.0
Operating Revenue,1205375000000.0
Occupancy And Equipment,45069900000.0
Other Non Interest Expense,
