metric,value
Free Cash Flow,20095900000.0
Repayment Of Debt,-241600000.0
Issuance Of Debt,
Issuance Of Capital Stock,32400000.0
Capital Expenditure,-6042500000.0
End Cash Position,2263000000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,1810200000.0
Changes In Cash,452800000.0
Financing Cash Flow,-21472300000.0
Net Other Financing Charges,10000.0
Interest Paid Cff,-1048800000.0
Cash Dividends Paid,-19983300000.0
Net Common Stock Issuance,32400000.0
Common Stock Issuance,32400000.0
Net Issuance Payments Of Debt,-402400000.0
Net Short Term Debt Issuance,-241600000.0
Short Term Debt Payments,-241600000.0
Short Term Debt Issuance,
Net Long Term Debt Issuance,-160800000.0
Investing Cash Flow,-4213300000.0
Net Other Investing Changes,-799200000.0
Interest Received Cfi,2773200000.0
Dividends Received Cfi,22800000.0
Net Investment Purchase And Sale,9028600000.0
Sale Of Investment,453360100000.0
Purchase Of Investment,-444331500000.0
Net Business Purchase And Sale,-9625000000.0
Purchase Of Business,-9625000000.0
Net PPE Purchase And Sale,428800000.0
Sale Of PPE,428800000.0
Capital Expenditure Reported,-6042500000.0
Operating Cash Flow,26138400000.0
Taxes Refund Paid,-8565600000.0
Change In Working Capital,-6201900000.0
Change In Other Current Liabilities,699600000.0
Change In Other Current Assets,-2702700000.0
Change In Payable,4170500000.0
Change In Inventory,-2839800000.0
Change In Receivables,-5746500000.0
Other Non Cash Items,-1559300000.0
Stock Based Compensation,160400000.0
Provisionand Write Offof Assets,103300000.0
Deferred Tax,10637200000.0
Depreciation And Amortization,6973900000.0
Amortization Cash Flow,
Depreciation,6973900000.0
Gain Loss On Investment Securities,-3025900000.0
Net Foreign Currency Exchange Gain Loss,-344300000.0
Gain Loss On Sale Of PPE,-7300000.0
Net Income From Continuing Operations,27999000000.0
