metric,value
Tax Effect Of Unusual Items,770801832.50439
Tax Rate For Calcs,0.238402
Normalized EBITDA,34774100000.0
Total Unusual Items,3233200000.0
Total Unusual Items Excluding Goodwill,3233200000.0
Net Income From Continuing Operation Net Minority Interest,23168800000.0
Reconciled Depreciation,6895200000.0
Reconciled Cost Of Revenue,210039500000.0
EBITDA,38007300000.0
EBIT,31112100000.0
Net Interest Income,1359500000.0
Interest Expense,531000000.0
Interest Income,1890500000.0
Normalized Income,20706401832.50439
Net Income From Continuing And Discontinued Operation,23168800000.0
Total Expenses,261995600000.0
Rent Expense Supplemental,382200000.0
Diluted Average Shares,199858611.0
Basic Average Shares,199796939.0
Diluted EPS,115.93
Basic EPS,115.96
Diluted NI Availto Com Stockholders,23168800000.0
Net Income Common Stockholders,23168800000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,23168800000.0
Minority Interests,-121700000.0
Net Income Including Noncontrolling Interests,23290500000.0
Net Income Continuous Operations,23290500000.0
Tax Provision,7290600000.0
Pretax Income,30581100000.0
Other Non Operating Income Expenses,5550100000.0
Special Income Charges,-96100000.0
Other Special Charges,96100000.0
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,1359500000.0
Interest Expense Non Operating,531000000.0
Interest Income Non Operating,1890500000.0
Operating Income,27780800000.0
Operating Expense,51956100000.0
Other Operating Expenses,12696400000.0
Depreciation And Amortization In Income Statement,6895200000.0
Amortization,514300000.0
Depreciation Income Statement,6895200000.0
Selling General And Administration,17760900000.0
Selling And Marketing Expense,16987400000.0
General And Administrative Expense,773500000.0
Rent And Landing Fees,382200000.0
Gross Profit,79736900000.0
Cost Of Revenue,210039500000.0
Total Revenue,289776400000.0
Operating Revenue,289776400000.0
