metric,value
Tax Effect Of Unusual Items,-2810576621.748668
Tax Rate For Calcs,0.28361
Normalized EBITDA,345380000000.0
Total Unusual Items,-9910000000.0
Total Unusual Items Excluding Goodwill,-9910000000.0
Net Income From Continuing Operation Net Minority Interest,160010000000.0
Reconciled Depreciation,78810000000.0
Reconciled Cost Of Revenue,1576570000000.0
EBITDA,335470000000.0
EBIT,256660000000.0
Net Interest Income,-23880000000.0
Interest Expense,33290000000.0
Interest Income,9710000000.0
Normalized Income,167109423378.25134
Net Income From Continuing And Discontinued Operation,160010000000.0
Total Expenses,2115480000000.0
Rent Expense Supplemental,3770000000.0
Diluted Average Shares,2225134511.0
Basic Average Shares,2220893430.0
Diluted EPS,71.91
Basic EPS,72.05
Diluted NI Availto Com Stockholders,160010000000.0
Net Income Common Stockholders,160010000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,160010000000.0
Minority Interests,-10000000.0
Net Income Including Noncontrolling Interests,160020000000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,160020000000.0
Tax Provision,63350000000.0
Pretax Income,223370000000.0
Other Non Operating Income Expenses,2360000000.0
Special Income Charges,-11140000000.0
Other Special Charges,1310000000.0
Write Off,9830000000.0
Impairment Of Capital Assets,2500000000.0
Restructuring And Mergern Acquisition,8180000000.0
Net Non Operating Interest Income Expense,-23880000000.0
Total Other Finance Cost,300000000.0
Interest Expense Non Operating,33290000000.0
Interest Income Non Operating,9710000000.0
Operating Income,254740000000.0
Operating Expense,538910000000.0
Other Operating Expenses,303840000000.0
Research And Development,9070000000.0
Selling General And Administration,85010000000.0
Selling And Marketing Expense,80330000000.0
General And Administrative Expense,4680000000.0
Rent And Landing Fees,3770000000.0
Gross Profit,793650000000.0
Cost Of Revenue,1576570000000.0
Total Revenue,2370220000000.0
Operating Revenue,2370220000000.0
