metric,value
Free Cash Flow,87990000000.0
Repayment Of Debt,-2080000000.0
Issuance Of Debt,2860000000.0
Issuance Of Capital Stock,-20000000.0
Capital Expenditure,-11920000000.0
End Cash Position,7010000000.0
Other Cash Adjustment Outside Changein Cash,100000000.0
Beginning Cash Position,11470000000.0
Changes In Cash,-4560000000.0
Financing Cash Flow,-89530000000.0
Net Other Financing Charges,850000000.0
Interest Paid Cff,-880000000.0
Cash Dividends Paid,-84740000000.0
Net Common Stock Issuance,-20000000.0
Common Stock Issuance,-20000000.0
Net Issuance Payments Of Debt,780000000.0
Net Short Term Debt Issuance,850000000.0
Short Term Debt Payments,-2010000000.0
Short Term Debt Issuance,2860000000.0
Net Long Term Debt Issuance,-70000000.0
Long Term Debt Payments,-70000000.0
Investing Cash Flow,-14940000000.0
Net Other Investing Changes,-20000000.0
Interest Received Cfi,2590000000.0
Dividends Received Cfi,20000000.0
Net Investment Purchase And Sale,-3670000000.0
Sale Of Investment,259500000000.0
Purchase Of Investment,-263170000000.0
Net Business Purchase And Sale,-3760000000.0
Sale Of Business,
Purchase Of Business,-3760000000.0
Net Intangibles Purchase And Sale,420000000.0
Sale Of Intangibles,600000000.0
Purchase Of Intangibles,-180000000.0
Net PPE Purchase And Sale,-10530000000.0
Sale Of PPE,1210000000.0
Purchase Of PPE,-11740000000.0
Operating Cash Flow,99910000000.0
Taxes Refund Paid,-31380000000.0
Change In Working Capital,-9600000000.0
Change In Other Current Liabilities,5040000000.0
Change In Other Current Assets,-11250000000.0
Change In Inventory,-3390000000.0
Other Non Cash Items,-2970000000.0
Stock Based Compensation,10000000.0
Provisionand Write Offof Assets,10000000.0
Depreciation And Amortization,11520000000.0
Amortization Cash Flow,240000000.0
Depreciation,11520000000.0
Pension And Employee Benefit Expense,-10000000.0
Gain Loss On Investment Securities,-1090000000.0
Gain Loss On Sale Of PPE,-1600000000.0
Gain Loss On Sale Of Business,
Net Income From Continuing Operations,133450000000.0
