metric,value
Tax Effect Of Unusual Items,1458600000.0
Tax Rate For Calcs,0.26
Normalized EBITDA,156120000000.0
Total Unusual Items,5610000000.0
Total Unusual Items Excluding Goodwill,5610000000.0
Net Income From Continuing Operation Net Minority Interest,106490000000.0
Reconciled Depreciation,13630000000.0
Reconciled Cost Of Revenue,318590000000.0
EBITDA,161730000000.0
EBIT,148100000000.0
Net Interest Income,3600000000.0
Interest Expense,3950000000.0
Interest Income,7550000000.0
Normalized Income,102338600000.0
Net Income From Continuing And Discontinued Operation,106490000000.0
Total Expenses,487920000000.0
Rent Expense Supplemental,530000000.0
Diluted Average Shares,2349760716.0
Basic Average Shares,2349591262.0
Diluted EPS,45.32
Basic EPS,45.32
Diluted NI Availto Com Stockholders,106490000000.0
Net Income Common Stockholders,106490000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,106490000000.0
Minority Interests,-220000000.0
Net Income Including Noncontrolling Interests,106710000000.0
Net Income Extraordinary,
Net Income Discontinuous Operations,
Net Income Continuous Operations,106710000000.0
Tax Provision,37440000000.0
Pretax Income,144150000000.0
Other Non Operating Income Expenses,60000000.0
Special Income Charges,3050000000.0
Other Special Charges,-6000000000.0
Restructuring And Mergern Acquisition,2950000000.0
Net Non Operating Interest Income Expense,3600000000.0
Total Other Finance Cost,
Interest Expense Non Operating,3950000000.0
Interest Income Non Operating,7550000000.0
Operating Income,134960000000.0
Operating Expense,169330000000.0
Other Operating Expenses,50140000000.0
Depreciation And Amortization In Income Statement,13550000000.0
Amortization,250000000.0
Depreciation Income Statement,13300000000.0
Selling General And Administration,82670000000.0
Selling And Marketing Expense,82670000000.0
Rent And Landing Fees,530000000.0
Gross Profit,304290000000.0
Cost Of Revenue,318590000000.0
Total Revenue,622880000000.0
Operating Revenue,622880000000.0
