metric,value
Treasury Shares Number,
Ordinary Shares Number,7022335643.0
Share Issued,7022335643.0
Net Debt,108691185000.0
Total Debt,2009987053000.0
Tangible Book Value,2536696727000.0
Invested Capital,4571425399000.0
Net Tangible Assets,2536696727000.0
Common Stock Equity,2561438346000.0
Total Capitalization,4398464591000.0
Total Equity Gross Minority Interest,2700322508000.0
Minority Interest,138884162000.0
Stockholders Equity,2561438346000.0
Other Equity Interest,14053180000.0
Gains Losses Not Affecting Retained Earnings,1112144138000.0
Foreign Currency Translation Adjustments,19828929000.0
Unrealized Gain Loss,-313803000.0
Retained Earnings,898257800000.0
Capital Stock,14046790000.0
Common Stock,14046790000.0
Total Liabilities Net Minority Interest,20940307767000.0
Derivative Product Liabilities,176519175000.0
Long Term Debt And Capital Lease Obligation,1837026245000.0
Long Term Debt,1837026245000.0
Long Term Provisions,61602061000.0
Current Debt And Capital Lease Obligation,172960808000.0
Current Debt,172960808000.0
Commercial Paper,172960808000.0
Payables And Accrued Expenses,806299267000.0
Payables,806299267000.0
Other Payable,767313759000.0
Accounts Payable,38985508000.0
Total Assets,23640630275000.0
Investments And Advances,6623201036000.0
Available For Sale Securities,6608098697000.0
Long Term Equity Investment,15102339000.0
Goodwill And Other Intangible Assets,24741619000.0
Goodwill,24741619000.0
Net PPE,132402763000.0
Accumulated Depreciation,-137517547000.0
Gross PPE,269920310000.0
Other Properties,166944799000.0
Properties,102975511000.0
Prepaid Assets,8831572000.0
Receivables,709340404000.0
Notes Receivable,500789314000.0
Accounts Receivable,208551090000.0
Cash And Cash Equivalents,1901295868000.0
Cash Equivalents,295695710000.0
Cash Financial,89558463000.0
Cash Cash Equivalents And Federal Funds Sold,1901295868000.0
