metric,value
Free Cash Flow,1180352527000.0
Repayment Of Debt,-399331062000.0
Issuance Of Debt,404464948000.0
Issuance Of Capital Stock,14375199000.0
Capital Expenditure,-47700000000.0
End Cash Position,2140234637000.0
Other Cash Adjustment Outside Changein Cash,0.0
Beginning Cash Position,1627689026000.0
Effect Of Exchange Rate Changes,1484300000.0
Changes In Cash,511061319000.0
Financing Cash Flow,55892342000.0
Cash Flow From Continuing Financing Activities,55892300000.0
Cash Dividends Paid,-70412665000.0
Common Stock Dividend Paid,-70412665000.0
Net Common Stock Issuance,14375199000.0
Common Stock Issuance,14375199000.0
Net Issuance Payments Of Debt,111929800000.0
Net Short Term Debt Issuance,106795922000.0
Net Long Term Debt Issuance,5133886000.0
Long Term Debt Payments,-399331062000.0
Long Term Debt Issuance,404464900000.0
Investing Cash Flow,-772883600000.0
Cash Flow From Continuing Investing Activities,-772883605000.0
Net Investment Purchase And Sale,-725829665000.0
Net PPE Purchase And Sale,-47053900000.0
Sale Of PPE,646100000.0
Purchase Of PPE,-47700055000.0
Operating Cash Flow,1228052582000.0
Cash Flow From Continuing Operating Activities,1228052582000.0
Taxes Refund Paid,-181164600000.0
Change In Working Capital,640177434000.0
Change In Other Working Capital,2055588659000.0
Change In Other Current Liabilities,229962700000.0
Change In Other Current Assets,-5176415000.0
Other Non Cash Items,41056531000.0
Stock Based Compensation,7901495000.0
Amortization Of Securities,
Depreciation Amortization Depletion,26903750000.0
Depreciation And Amortization,26903750000.0
Operating Gains Losses,-1462267000.0
Gain Loss On Investment Securities,-1023190000.0
Gain Loss On Sale Of PPE,-439077000.0
Net Income From Continuing Operations,694640300000.0
