metric,value
Tax Effect Of Unusual Items,36167343.0
Tax Rate For Calcs,0.251
Total Unusual Items,144093000.0
Total Unusual Items Excluding Goodwill,144093000.0
Net Income From Continuing Operation Net Minority Interest,442563735000.0
Reconciled Depreciation,19958856000.0
Net Interest Income,854077625000.0
Interest Expense,741081627000.0
Interest Income,1595159252000.0
Normalized Income,442455809343.0
Net Income From Continuing And Discontinued Operation,442563735000.0
Rent Expense Supplemental,17054394000.0
Diluted Average Shares,7142732408.0
Basic Average Shares,7003698370.0
Diluted EPS,61.96
Basic EPS,63.19
Diluted NI Availto Com Stockholders,441875400000.0
Average Dilution Earnings,-688300000.0
Net Income Common Stockholders,442563735000.0
Net Income,442563735000.0
Minority Interests,-18241392000.0
Net Income Including Noncontrolling Interests,460805103000.0
Net Income Extraordinary,
Net Income Continuous Operations,460805103000.0
Tax Provision,154276200000.0
Pretax Income,615081303000.0
Special Income Charges,144093000.0
Other Special Charges,-144093000.0
Gain On Sale Of Security,30822095000.0
Depreciation Amortization Depletion Income Statement,19352106000.0
Depreciation And Amortization In Income Statement,19352106000.0
Depreciation Income Statement,19352106000.0
Selling General And Administration,370325892000.0
Selling And Marketing Expense,66279545000.0
General And Administrative Expense,304046347000.0
Other Gand A,
Insurance And Claims,95126170000.0
Rent And Landing Fees,17054394000.0
Salaries And Wages,191865783000.0
Total Revenue,1612101952000.0
Operating Revenue,1612101952000.0
Occupancy And Equipment,36171827000.0
Professional Expense And Contract Services Expense,1759687000.0
Other Non Interest Expense,570657210000.0
