metric,value
Ordinary Shares Number,778319951.0
Share Issued,778319951.0
Net Debt,52198180000.0
Total Debt,476114113000.0
Tangible Book Value,632075634000.0
Invested Capital,1108189747000.0
Net Tangible Assets,632075634000.0
Common Stock Equity,632075634000.0
Total Capitalization,1108189747000.0
Total Equity Gross Minority Interest,632075634000.0
Stockholders Equity,632075634000.0
Other Equity Interest,1035151000.0
Fixed Assets Revaluation Reserve,2956881000.0
Retained Earnings,295864767000.0
Additional Paid In Capital,187707361000.0
Capital Stock,7783200000.0
Common Stock,7783200000.0
Total Liabilities Net Minority Interest,4518864077000.0
Long Term Debt And Capital Lease Obligation,476114113000.0
Payables,33370343000.0
Other Payable,13944249000.0
Accounts Payable,19426094000.0
Total Assets,5150939711000.0
Investments And Advances,1062116533000.0
Investmentin Financial Assets,1062081595000.0
Available For Sale Securities,96083846000.0
Long Term Equity Investment,34938000.0
Investmentsin Associatesat Cost,34938000.0
Investmentsin Subsidiariesat Cost,0.0
Net PPE,23240217000.0
Accumulated Depreciation,-28967401000.0
Gross PPE,52207618000.0
Construction In Progress,1969537000.0
Other Properties,41517549000.0
Properties,8720532000.0
Prepaid Assets,8437567000.0
Receivables,201668230000.0
Taxes Receivable,
Cash And Cash Equivalents,423915933000.0
Cash Equivalents,75894172000.0
Cash Financial,12268453000.0
Cash Cash Equivalents And Federal Funds Sold,423915933000.0
