metric,value
Free Cash Flow,-130133695000.0
Repayment Of Debt,0.0
Issuance Of Debt,26880111000.0
Issuance Of Capital Stock,857080000.0
Capital Expenditure,-5710945000.0
End Cash Position,567767615000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,685847078000.0
Effect Of Exchange Rate Changes,796560000.0
Changes In Cash,-118876023000.0
Financing Cash Flow,11148338000.0
Net Other Financing Charges,-10000000000.0
Cash Dividends Paid,-6588853000.0
Common Stock Dividend Paid,-6588853000.0
Net Common Stock Issuance,857080000.0
Common Stock Issuance,857080000.0
Net Issuance Payments Of Debt,26880111000.0
Net Long Term Debt Issuance,26880111000.0
Long Term Debt Payments,0.0
Long Term Debt Issuance,26880111000.0
Investing Cash Flow,-5601611000.0
Dividends Received Cfi,0.0
Net PPE Purchase And Sale,-5601611000.0
Sale Of PPE,109334000.0
Purchase Of PPE,-5710945000.0
Operating Cash Flow,-124422750000.0
Taxes Refund Paid,-11956985000.0
Change In Working Capital,-265869500000.0
Change In Other Current Liabilities,44322953000.0
Change In Other Current Assets,-58024502000.0
Other Non Cash Items,4021511000.0
Stock Based Compensation,282527000.0
Provisionand Write Offof Assets,41854349000.0
Depreciation And Amortization,4072062000.0
Depreciation,4072062000.0
Gain Loss On Sale Of PPE,27786000.0
Net Income From Continuing Operations,99321936000.0
