metric,value
Tax Effect Of Unusual Items,-6963322.284508
Tax Rate For Calcs,0.250605
Total Unusual Items,-27786000.0
Total Unusual Items Excluding Goodwill,-27786000.0
Net Income From Continuing Operation Net Minority Interest,74434978000.0
Reconciled Depreciation,4072062000.0
Net Interest Income,175921238000.0
Interest Expense,187757967000.0
Interest Income,363679205000.0
Normalized Income,74455800677.71548
Net Income From Continuing And Discontinued Operation,74434978000.0
Diluted Average Shares,776255183.0
Basic Average Shares,775248354.0
Diluted EPS,95.89
Basic EPS,96.01
Diluted NI Availto Com Stockholders,74434978000.0
Net Income Common Stockholders,74434978000.0
Net Income,74434978000.0
Net Income Including Noncontrolling Interests,74434909000.0
Net Income Extraordinary,0.0
Net Income Continuous Operations,74434909000.0
Tax Provision,24890600000.0
Pretax Income,99321873000.0
Special Income Charges,-27786000.0
Other Special Charges,27786000.0
Gain On Sale Of Security,-166272000.0
Operating Expense,116471570000.0
Other Operating Expenses,57627596000.0
Depreciation And Amortization In Income Statement,4072062000.0
Depreciation Income Statement,4072062000.0
Selling General And Administration,1610571000.0
Selling And Marketing Expense,951169000.0
General And Administrative Expense,659402000.0
Insurance And Claims,4964259000.0
Rent And Landing Fees,6345802000.0
Total Revenue,254676829000.0
Operating Revenue,254676829000.0
