metric,value
Treasury Shares Number,12172119.0
Ordinary Shares Number,4136387925.0
Share Issued,4148560044.0
Total Debt,1010000000.0
Tangible Book Value,8077000000.0
Invested Capital,9172000000.0
Working Capital,3857000000.0
Net Tangible Assets,8077000000.0
Capital Lease Obligations,1010000000.0
Common Stock Equity,9172000000.0
Total Capitalization,9172000000.0
Total Equity Gross Minority Interest,9224000000.0
Minority Interest,52000000.0
Stockholders Equity,9172000000.0
Other Equity Interest,-4314000000.0
Gains Losses Not Affecting Retained Earnings,1370000000.0
Other Equity Adjustments,1370000000.0
Retained Earnings,11401000000.0
Additional Paid In Capital,390000000.0
Capital Stock,325000000.0
Common Stock,325000000.0
Total Liabilities Net Minority Interest,6088000000.0
Total Non Current Liabilities Net Minority Interest,1319000000.0
Other Non Current Liabilities,48000000.0
Derivative Product Liabilities,0.0
Employee Benefits,65000000.0
Non Current Pension And Other Postretirement Benefit Plans,54000000.0
Non Current Accrued Expenses,198000000.0
Tradeand Other Payables Non Current,
Non Current Deferred Liabilities,149000000.0
Non Current Deferred Revenue,6000000.0
Non Current Deferred Taxes Liabilities,149000000.0
Long Term Debt And Capital Lease Obligation,859000000.0
Long Term Capital Lease Obligation,859000000.0
Current Liabilities,4769000000.0
Other Current Liabilities,2413000000.0
Current Deferred Liabilities,872000000.0
Current Deferred Revenue,872000000.0
Current Debt And Capital Lease Obligation,151000000.0
Current Capital Lease Obligation,151000000.0
Pensionand Other Post Retirement Benefit Plans Current,292000000.0
Current Provisions,159000000.0
Payables And Accrued Expenses,882000000.0
Current Accrued Expenses,949000000.0
Payables,882000000.0
Total Tax Payable,412000000.0
Income Tax Payable,412000000.0
Accounts Payable,470000000.0
Total Assets,15312000000.0
Total Non Current Assets,6686000000.0
Defined Pension Benefit,4000000.0
Non Current Prepaid Assets,88000000.0
Non Current Deferred Assets,254000000.0
Non Current Deferred Taxes Assets,152000000.0
Non Current Note Receivables,5000000.0
Non Current Accounts Receivable,1044000000.0
Investments And Advances,1680000000.0
Other Investments,37000000.0
Investmentin Financial Assets,1643000000.0
Held To Maturity Securities,215000000.0
Available For Sale Securities,1358000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,70000000.0
Goodwill And Other Intangible Assets,1095000000.0
Other Intangible Assets,213000000.0
Goodwill,882000000.0
Net PPE,2516000000.0
Accumulated Depreciation,-2034000000.0
Gross PPE,4550000000.0
Construction In Progress,55000000.0
Machinery Furniture Equipment,2364000000.0
Buildings And Improvements,1881000000.0
Land And Improvements,250000000.0
Properties,0.0
Current Assets,8626000000.0
Other Current Assets,32000000.0
Hedging Assets Current,12000000.0
Current Deferred Assets,125000000.0
Prepaid Assets,650000000.0
Receivables,5448000000.0
Other Receivables,1861000000.0
Taxes Receivable,399000000.0
Accrued Interest Receivable,59000000.0
Loans Receivable,35000000.0
Accounts Receivable,3094000000.0
Allowance For Doubtful Accounts Receivable,-83000000.0
Gross Accounts Receivable,3177000000.0
Cash Cash Equivalents And Short Term Investments,2359000000.0
Other Short Term Investments,878000000.0
Cash And Cash Equivalents,1481000000.0
Cash Equivalents,261000000.0
Cash Financial,1220000000.0
