metric,value
Tax Effect Of Unusual Items,11382000.0
Tax Rate For Calcs,0.271
Normalized EBITDA,4925000000.0
Total Unusual Items,42000000.0
Total Unusual Items Excluding Goodwill,42000000.0
Net Income From Continuing Operation Net Minority Interest,3167000000.0
Reconciled Depreciation,565000000.0
Reconciled Cost Of Revenue,12975000000.0
EBITDA,4967000000.0
EBIT,4402000000.0
Net Interest Income,431000000.0
Interest Expense,56000000.0
Interest Income,487000000.0
Normalized Income,3136382000.0
Net Income From Continuing And Discontinued Operation,3167000000.0
Total Expenses,14713000000.0
Rent Expense Supplemental,
Total Operating Income As Reported,3834000000.0
Diluted Average Shares,4144680425.0
Basic Average Shares,4138568090.0
Diluted EPS,0.76
Basic EPS,0.77
Diluted NI Availto Com Stockholders,3167000000.0
Net Income Common Stockholders,3167000000.0
Net Income,3167000000.0
Minority Interests,-2000000.0
Net Income Including Noncontrolling Interests,3169000000.0
Net Income Continuous Operations,3169000000.0
Tax Provision,1177000000.0
Pretax Income,4346000000.0
Other Income Expense,66000000.0
Other Non Operating Income Expenses,24000000.0
Special Income Charges,-15000000.0
Gain On Sale Of Business,
Write Off,15000000.0
Impairment Of Capital Assets,
Gain On Sale Of Security,57000000.0
Net Non Operating Interest Income Expense,431000000.0
Interest Expense Non Operating,56000000.0
Interest Income Non Operating,487000000.0
Operating Income,3849000000.0
Operating Expense,1738000000.0
Other Operating Expenses,121000000.0
Other Taxes,39000000.0
Selling General And Administration,1578000000.0
Selling And Marketing Expense,168000000.0
General And Administrative Expense,1410000000.0
Other Gand A,400000000.0
Insurance And Claims,25000000.0
Rent And Landing Fees,
Salaries And Wages,985000000.0
Gross Profit,5587000000.0
Cost Of Revenue,12975000000.0
Total Revenue,18562000000.0
Operating Revenue,18562000000.0
