metric,value
Treasury Shares Number,349677684.0
Ordinary Shares Number,13771560699.0
Share Issued,14121238383.0
Net Debt,1418868700000.0
Total Debt,1522707000000.0
Tangible Book Value,1783263100000.0
Invested Capital,3290473600000.0
Working Capital,-729712600000.0
Net Tangible Assets,1783263100000.0
Capital Lease Obligations,97106600000.0
Common Stock Equity,1864873200000.0
Total Capitalization,2382430700000.0
Total Equity Gross Minority Interest,1910246600000.0
Minority Interest,45373400000.0
Stockholders Equity,1864873200000.0
Other Equity Interest,1727157600000.0
Additional Paid In Capital,991100000.0
Capital Stock,137715600000.0
Common Stock,137715600000.0
Total Liabilities Net Minority Interest,3158423900000.0
Total Non Current Liabilities Net Minority Interest,852279800000.0
Other Non Current Liabilities,7001900000.0
Derivative Product Liabilities,0.0
Non Current Pension And Other Postretirement Benefit Plans,0.0
Non Current Accrued Expenses,0.0
Non Current Deferred Revenue,39223700000.0
Non Current Deferred Taxes Liabilities,206649600000.0
Long Term Debt And Capital Lease Obligation,583344000000.0
Long Term Capital Lease Obligation,65786500000.0
Long Term Debt,517557500000.0
Long Term Provisions,14066300000.0
Current Liabilities,2306144100000.0
Other Current Liabilities,105698900000.0
Current Debt And Capital Lease Obligation,939363000000.0
Current Capital Lease Obligation,31320100000.0
Current Debt,908042900000.0
Pensionand Other Post Retirement Benefit Plans Current,17721000000.0
Current Provisions,100127400000.0
Payables,607651400000.0
Other Payable,
Dividends Payable,1902300000.0
Total Tax Payable,399700000.0
Accounts Payable,605349400000.0
Total Assets,5068670500000.0
Total Non Current Assets,3492239000000.0
Other Non Current Assets,61608300000.0
Non Current Prepaid Assets,19053000000.0
Non Current Deferred Assets,12370300000.0
Financial Assets,0.0
Investmentin Financial Assets,354575500000.0
Held To Maturity Securities,
Available For Sale Securities,354575500000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,0.0
Long Term Equity Investment,213920400000.0
Investmentsin Joint Venturesat Cost,188697200000.0
Investments In Other Ventures Under Equity Method,
Investmentsin Associatesat Cost,25223200000.0
Goodwill And Other Intangible Assets,81610100000.0
Other Intangible Assets,81599700000.0
Goodwill,10400000.0
Net PPE,2738709300000.0
Accumulated Depreciation,-964191600000.0
Gross PPE,3702900900000.0
Construction In Progress,767089000000.0
Other Properties,318669500000.0
Machinery Furniture Equipment,2298034900000.0
Buildings And Improvements,278061200000.0
Land And Improvements,41046300000.0
Properties,0.0
Current Assets,1576431500000.0
Other Current Assets,906300000.0
Hedging Assets Current,13200000.0
Assets Held For Sale Current,15118500000.0
Current Deferred Assets,1181700000.0
Restricted Cash,-2520000000.0
Prepaid Assets,10268000000.0
Inventory,1138784900000.0
Inventories Adjustments Allowances,-3544800000.0
Other Inventories,820100000.0
Finished Goods,580219400000.0
Work In Process,95666500000.0
Raw Materials,465623700000.0
Other Receivables,83920800000.0
Taxes Receivable,7250500000.0
Accounts Receivable,185509600000.0
Allowance For Doubtful Accounts Receivable,-4595500000.0
Gross Accounts Receivable,190105100000.0
Cash Cash Equivalents And Short Term Investments,135998000000.0
Other Short Term Investments,129266300000.0
Cash And Cash Equivalents,6731700000.0
Cash Equivalents,452000000.0
Cash Financial,6279700000.0
