metric,value
Free Cash Flow,22902400000.0
Repayment Of Debt,-29887600000.0
Issuance Of Debt,101557200000.0
Capital Expenditure,-234564300000.0
End Cash Position,11765900000.0
Beginning Cash Position,7811900000.0
Changes In Cash,3954000000.0
Financing Cash Flow,-40577000000.0
Interest Paid Cff,-46601300000.0
Cash Dividends Paid,-108960400000.0
Common Stock Dividend Paid,-108960400000.0
Net Issuance Payments Of Debt,129953400000.0
Net Short Term Debt Issuance,58283800000.0
Net Long Term Debt Issuance,71669600000.0
Long Term Debt Payments,-29887600000.0
Long Term Debt Issuance,101557200000.0
Investing Cash Flow,-212935700000.0
Net Other Investing Changes,1132000000.0
Interest Received Cfi,22240200000.0
Dividends Received Cfi,20967300000.0
Net Investment Purchase And Sale,-22710900000.0
Sale Of Investment,780000000.0
Purchase Of Investment,-23490900000.0
Net PPE Purchase And Sale,-52601100000.0
Sale Of PPE,
Purchase Of PPE,-52601100000.0
Capital Expenditure Reported,-181963200000.0
Operating Cash Flow,257466700000.0
Taxes Refund Paid,-75410500000.0
Change In Working Capital,-146498200000.0
Change In Payable,163970500000.0
Change In Inventory,-283369900000.0
Change In Receivables,-27098800000.0
Other Non Cash Items,39147200000.0
Provisionand Write Offof Assets,-119200000.0
Depreciation And Amortization,123475800000.0
Amortization Cash Flow,
Depreciation,123475800000.0
Pension And Employee Benefit Expense,-7392900000.0
Gain Loss On Investment Securities,-9554700000.0
Net Foreign Currency Exchange Gain Loss,7738400000.0
Net Income From Continuing Operations,342886200000.0
