metric,value
Tax Effect Of Unusual Items,-602075781.0
Tax Rate For Calcs,0.24971
Normalized EBITDA,511740800000.0
Total Unusual Items,-2411100000.0
Total Unusual Items Excluding Goodwill,-2411100000.0
Net Income From Continuing Operation Net Minority Interest,251022300000.0
Reconciled Depreciation,123475800000.0
Reconciled Cost Of Revenue,5097506100000.0
EBITDA,509329700000.0
EBIT,385853900000.0
Net Interest Income,-24192500000.0
Interest Expense,42967700000.0
Interest Income,19245100000.0
Normalized Income,252831324219.0
Net Income From Continuing And Discontinued Operation,251022300000.0
Total Expenses,5488432800000.0
Rent Expense Supplemental,6560200000.0
Diluted Average Shares,13771560699.0
Basic Average Shares,13771560699.0
Diluted EPS,18.23
Basic EPS,18.23
Diluted NI Availto Com Stockholders,251022300000.0
Net Income Common Stockholders,251022300000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,251022300000.0
Minority Interests,-6243700000.0
Net Income Including Noncontrolling Interests,257266000000.0
Net Income Continuous Operations,257266000000.0
Tax Provision,85620200000.0
Pretax Income,342886200000.0
Other Non Operating Income Expenses,184300000.0
Special Income Charges,4454900000.0
Other Special Charges,-119700000.0
Write Off,-4335200000.0
Net Non Operating Interest Income Expense,-24192500000.0
Total Other Finance Cost,469900000.0
Interest Expense Non Operating,42967700000.0
Interest Income Non Operating,19245100000.0
Operating Income,371895700000.0
Operating Expense,390926700000.0
Other Operating Expenses,129936600000.0
Selling General And Administration,167157200000.0
Selling And Marketing Expense,161385900000.0
General And Administrative Expense,5771300000.0
Rent And Landing Fees,6560200000.0
Gross Profit,762822400000.0
Cost Of Revenue,5097506100000.0
Total Revenue,5860328500000.0
Operating Revenue,5860328500000.0
