metric,value
Free Cash Flow,161345600000.0
Repayment Of Debt,-7300000.0
Issuance Of Debt,0.0
Issuance Of Capital Stock,24773900000.0
Capital Expenditure,-27429900000.0
End Cash Position,4059100000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,2666800000.0
Changes In Cash,1392300000.0
Financing Cash Flow,-130060300000.0
Net Other Financing Charges,353700000.0
Interest Paid Cff,-414200000.0
Cash Dividends Paid,-154175300000.0
Common Stock Dividend Paid,-154175300000.0
Net Common Stock Issuance,24773900000.0
Common Stock Issuance,24773900000.0
Net Issuance Payments Of Debt,-7300000.0
Net Short Term Debt Issuance,0.0
Short Term Debt Payments,
Short Term Debt Issuance,0.0
Net Long Term Debt Issuance,-7300000.0
Long Term Debt Payments,-7300000.0
Investing Cash Flow,-57322900000.0
Net Other Investing Changes,-637500000.0
Interest Received Cfi,13237400000.0
Dividends Received Cfi,185800000.0
Net Investment Purchase And Sale,-43719400000.0
Sale Of Investment,889848400000.0
Purchase Of Investment,-933567800000.0
Net Business Purchase And Sale,-96300000.0
Sale Of Business,560000000.0
Purchase Of Business,-656300000.0
Net PPE Purchase And Sale,-26938200000.0
Sale Of PPE,491700000.0
Purchase Of PPE,-27429900000.0
Operating Cash Flow,188775500000.0
Taxes Refund Paid,-62502400000.0
Change In Working Capital,-9241500000.0
Change In Payable,10579300000.0
Change In Inventory,-10978700000.0
Change In Receivables,-8842100000.0
Other Non Cash Items,-14908000000.0
Stock Based Compensation,604100000.0
Provisionand Write Offof Assets,7500000.0
Depreciation And Amortization,18090100000.0
Depreciation,18090100000.0
Gain Loss On Investment Securities,-3939900000.0
Net Foreign Currency Exchange Gain Loss,313700000.0
Gain Loss On Sale Of PPE,44000000.0
Gain Loss On Sale Of Business,0.0
Net Income From Continuing Operations,259151200000.0
