metric,value
Tax Effect Of Unusual Items,-313866000.0
Tax Rate For Calcs,0.2961
Normalized EBITDA,401640000000.0
Total Unusual Items,-1300000000.0
Total Unusual Items Excluding Goodwill,-1060000000.0
Net Income From Continuing Operation Net Minority Interest,206650000000.0
Reconciled Depreciation,60010000000.0
Reconciled Cost Of Revenue,787470000000.0
EBITDA,400340000000.0
EBIT,340330000000.0
Net Interest Income,-39410000000.0
Interest Expense,42880000000.0
Interest Income,6490000000.0
Normalized Income,207156134000.0
Net Income From Continuing And Discontinued Operation,206650000000.0
Total Expenses,1102440000000.0
Rent Expense Supplemental,780000000.0
Diluted Average Shares,2417220440.0
Basic Average Shares,2403942787.0
Diluted EPS,85.49
Basic EPS,85.96
Diluted NI Availto Com Stockholders,206650000000.0
Net Income Common Stockholders,206650000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,206650000000.0
Minority Interests,-2730000000.0
Net Income Including Noncontrolling Interests,209380000000.0
Net Income Continuous Operations,209380000000.0
Tax Provision,88070000000.0
Pretax Income,297450000000.0
Other Non Operating Income Expenses,1040000000.0
Special Income Charges,-8240000000.0
Other Special Charges,8480000000.0
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-39410000000.0
Total Other Finance Cost,3020000000.0
Interest Expense Non Operating,42880000000.0
Interest Income Non Operating,6490000000.0
Operating Income,335850000000.0
Operating Expense,314970000000.0
Other Operating Expenses,154980000000.0
Depreciation And Amortization In Income Statement,60010000000.0
Amortization,1890000000.0
Depreciation Income Statement,58120000000.0
Selling General And Administration,76090000000.0
Selling And Marketing Expense,73400000000.0
General And Administrative Expense,2690000000.0
Rent And Landing Fees,780000000.0
Gross Profit,650820000000.0
Cost Of Revenue,787470000000.0
Total Revenue,1438290000000.0
Operating Revenue,1438290000000.0
