metric,value
Treasury Shares Number,0.0
Preferred Shares Number,
Ordinary Shares Number,9939604490.0
Share Issued,9939604490.0
Net Debt,66453688000.0
Total Debt,751056062000.0
Tangible Book Value,1290239333000.0
Invested Capital,2050772962000.0
Net Tangible Assets,1290239333000.0
Common Stock Equity,1299716900000.0
Preferred Stock Equity,
Total Capitalization,2050772962000.0
Total Equity Gross Minority Interest,1299716900000.0
Stockholders Equity,1299716900000.0
Other Equity Interest,792938000.0
Retained Earnings,750043044000.0
Additional Paid In Capital,260766395000.0
Capital Stock,9939604000.0
Common Stock,9939604000.0
Preferred Stock,0.0
Total Liabilities Net Minority Interest,6376952690000.0
Derivative Product Liabilities,28806448000.0
Long Term Debt And Capital Lease Obligation,751056062000.0
Payables,66376090000.0
Other Payable,36051339000.0
Accounts Payable,30324751000.0
Total Assets,7676669590000.0
Investments And Advances,2491038288000.0
Investmentin Financial Assets,2473782767000.0
Available For Sale Securities,254721020000.0
Long Term Equity Investment,17255521000.0
Investments In Other Ventures Under Equity Method,360849000.0
Investmentsin Associatesat Cost,16884672000.0
Investmentsin Subsidiariesat Cost,10000000.0
Goodwill And Other Intangible Assets,9477567000.0
Goodwill,9477567000.0
Net PPE,25625078000.0
Accumulated Depreciation,-38390770000.0
Gross PPE,64015848000.0
Other Properties,52689152000.0
Properties,11326696000.0
Prepaid Assets,2634973000.0
Receivables,138100098000.0
Cash And Cash Equivalents,684602374000.0
Cash Equivalents,130534255000.0
Cash Financial,20257279000.0
Cash Cash Equivalents And Federal Funds Sold,684602374000.0
