metric,value
Free Cash Flow,145583088000.0
Repurchase Of Capital Stock,-5000000000.0
Repayment Of Debt,
Issuance Of Debt,161524930000.0
Issuance Of Capital Stock,1992348000.0
Capital Expenditure,-11266882000.0
End Cash Position,652063874000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,429253471000.0
Effect Of Exchange Rate Changes,365228000.0
Changes In Cash,222445175000.0
Other Cash Adjustment Inside Changein Cash,1413421000.0
Financing Cash Flow,155151068000.0
Cash Dividends Paid,-3366210000.0
Common Stock Dividend Paid,-3366210000.0
Net Preferred Stock Issuance,-5000000000.0
Preferred Stock Payments,-5000000000.0
Net Common Stock Issuance,1992348000.0
Common Stock Issuance,1992348000.0
Net Issuance Payments Of Debt,161524930000.0
Net Long Term Debt Issuance,161524930000.0
Long Term Debt Payments,
Long Term Debt Issuance,161524930000.0
Investing Cash Flow,-90969284000.0
Net Investment Purchase And Sale,-74729127000.0
Purchase Of Investment,-74729127000.0
Net Business Purchase And Sale,-5319411000.0
Sale Of Business,0.0
Purchase Of Business,-5319411000.0
Net PPE Purchase And Sale,-10920746000.0
Sale Of PPE,346136000.0
Purchase Of PPE,-11266882000.0
Operating Cash Flow,156849970000.0
Taxes Refund Paid,-60375926000.0
Change In Working Capital,22031089000.0
Change In Other Current Liabilities,118317766000.0
Change In Other Current Assets,135205857000.0
Other Non Cash Items,2714066000.0
Stock Based Compensation,449476000.0
Provisionand Write Offof Assets,18982391000.0
Deferred Tax,58865500000.0
Depreciation And Amortization,7917534000.0
Depreciation,7917534000.0
Gain Loss On Investment Securities,-74173384000.0
Gain Loss On Sale Of PPE,-71379000.0
Gain Loss On Sale Of Business,0.0
Net Income From Continuing Operations,238633807000.0
