metric,value
Tax Effect Of Unusual Items,17607567.034282
Tax Rate For Calcs,0.246677
Total Unusual Items,71379000.0
Total Unusual Items Excluding Goodwill,71379000.0
Net Income From Continuing Operation Net Minority Interest,182132075000.0
Reconciled Depreciation,7917534000.0
Net Interest Income,336693952000.0
Interest Expense,225672371000.0
Interest Income,562366323000.0
Normalized Income,182078303567.03427
Net Income From Continuing And Discontinued Operation,182132075000.0
Diluted Average Shares,9937382900.0
Basic Average Shares,9936630075.0
Diluted EPS,18.29
Basic EPS,18.29
Diluted NI Availto Com Stockholders,181747000000.0
Net Income Common Stockholders,181747000000.0
Otherunder Preferred Stock Dividend,-25000.0
Preferred Stock Dividends,385100000.0
Net Income,182132075000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,182132116000.0
Net Income Extraordinary,0.0
Net Income Continuous Operations,182132116000.0
Tax Provision,58865500000.0
Pretax Income,238633794000.0
Special Income Charges,71379000.0
Other Special Charges,-71379000.0
Gain On Sale Of Security,74173384000.0
Operating Expense,443111840000.0
Other Operating Expenses,209475716000.0
Depreciation And Amortization In Income Statement,7917534000.0
Depreciation Income Statement,7917534000.0
Selling General And Administration,29351135000.0
Selling And Marketing Expense,15563775000.0
General And Administrative Expense,13787360000.0
Insurance And Claims,83060279000.0
Rent And Landing Fees,9687465000.0
Total Revenue,696695998000.0
Operating Revenue,696695998000.0
