metric,value
Free Cash Flow,137497500000.0
Repurchase Of Capital Stock,-100265500000.0
Repayment Of Debt,-272278000000.0
Issuance Of Debt,231254300000.0
Issuance Of Capital Stock,96500000.0
Capital Expenditure,-45165300000.0
End Cash Position,119585000000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,169266900000.0
Effect Of Exchange Rate Changes,158500000.0
Changes In Cash,-49840400000.0
Financing Cash Flow,-254133600000.0
Net Other Financing Charges,-30117700000.0
Interest Paid Cff,-36054800000.0
Cash Dividends Paid,-42169500000.0
Common Stock Dividend Paid,
Net Common Stock Issuance,-100169000000.0
Common Stock Payments,-100265500000.0
Common Stock Issuance,96500000.0
Net Issuance Payments Of Debt,-41023700000.0
Net Long Term Debt Issuance,-41023700000.0
Long Term Debt Payments,-272278000000.0
Long Term Debt Issuance,231254300000.0
Investing Cash Flow,21630400000.0
Net Other Investing Changes,-49700000.0
Interest Received Cfi,24081600000.0
Dividends Received Cfi,2260800000.0
Net Investment Purchase And Sale,27396500000.0
Sale Of Investment,76291100000.0
Purchase Of Investment,-48894600000.0
Net Business Purchase And Sale,8528700000.0
Sale Of Business,8660100000.0
Purchase Of Business,-131400000.0
Net PPE Purchase And Sale,-42104700000.0
Sale Of PPE,3060600000.0
Purchase Of PPE,-45165300000.0
Operating Cash Flow,182662800000.0
Taxes Refund Paid,-52800500000.0
Change In Working Capital,-13850800000.0
Change In Payable,146010200000.0
Change In Inventory,2446800000.0
Change In Receivables,-162307800000.0
Other Non Cash Items,10385500000.0
Stock Based Compensation,2976300000.0
Depreciation And Amortization,36747000000.0
Amortization Cash Flow,8839500000.0
Depreciation,27907500000.0
Gain Loss On Investment Securities,1127800000.0
Net Foreign Currency Exchange Gain Loss,-135600000.0
Gain Loss On Sale Of PPE,-954400000.0
Gain Loss On Sale Of Business,-5143800000.0
Net Income From Continuing Operations,204235000000.0
