metric,value
Tax Effect Of Unusual Items,-11841773340.0
Tax Rate For Calcs,0.2911
Normalized EBITDA,245563600000.0
Total Unusual Items,-40679400000.0
Total Unusual Items Excluding Goodwill,-40679400000.0
Net Income From Continuing Operation Net Minority Interest,86693300000.0
Reconciled Depreciation,29380300000.0
Reconciled Cost Of Revenue,998869400000.0
EBITDA,204884200000.0
EBIT,175503900000.0
Net Interest Income,-21546200000.0
Interest Expense,30554200000.0
Interest Income,10633500000.0
Normalized Income,115530926660.0
Net Income From Continuing And Discontinued Operation,86693300000.0
Total Expenses,1363314100000.0
Rent Expense Supplemental,33075000000.0
Diluted Average Shares,1406288280.0
Basic Average Shares,1404747700.0
Diluted EPS,61.65
Basic EPS,61.71
Diluted NI Availto Com Stockholders,86693300000.0
Net Income Common Stockholders,86693300000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,86693300000.0
Minority Interests,-17499100000.0
Net Income Including Noncontrolling Interests,104192400000.0
Net Income Extraordinary,969300000.0
Net Income Discontinuous Operations,0.0
Net Income Continuous Operations,104192400000.0
Tax Provision,42039200000.0
Pretax Income,144949700000.0
Other Non Operating Income Expenses,7436800000.0
Special Income Charges,-42879300000.0
Other Special Charges,-1161800000.0
Write Off,43941900000.0
Impairment Of Capital Assets,99200000.0
Net Non Operating Interest Income Expense,-21546200000.0
Total Other Finance Cost,1625500000.0
Interest Expense Non Operating,30554200000.0
Interest Income Non Operating,10633500000.0
Operating Income,193410500000.0
Operating Expense,364444700000.0
Other Operating Expenses,3828900000.0
Depreciation And Amortization In Income Statement,29380300000.0
Amortization,9085900000.0
Depreciation Income Statement,20294400000.0
Selling General And Administration,38914700000.0
Selling And Marketing Expense,2611500000.0
General And Administrative Expense,36303200000.0
Rent And Landing Fees,2364600000.0
Gross Profit,557855200000.0
Cost Of Revenue,998869400000.0
Total Revenue,1556724600000.0
Operating Revenue,1556724600000.0
