metric,value
Free Cash Flow,76012000000.0
Capital Expenditure,-91999000000.0
End Cash Position,26595000000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,17852000000.0
Changes In Cash,8743000000.0
Financing Cash Flow,-40620000000.0
Interest Paid Cff,-1472000000.0
Cash Dividends Paid,-27187000000.0
Common Stock Dividend Paid,
Net Issuance Payments Of Debt,-11827000000.0
Net Short Term Debt Issuance,-11827000000.0
Investing Cash Flow,-118648000000.0
Interest Received Cfi,3722000000.0
Dividends Received Cfi,61000000.0
Net Investment Purchase And Sale,-30078000000.0
Sale Of Investment,628917000000.0
Purchase Of Investment,-658995000000.0
Net Business Purchase And Sale,-800000000.0
Purchase Of Business,-800000000.0
Net Intangibles Purchase And Sale,-2837000000.0
Purchase Of Intangibles,-2837000000.0
Net PPE Purchase And Sale,-88716000000.0
Sale Of PPE,446000000.0
Purchase Of PPE,-89162000000.0
Operating Cash Flow,168011000000.0
Taxes Refund Paid,-35971000000.0
Dividend Received Cfo,597000000.0
Change In Working Capital,17217000000.0
Change In Other Current Liabilities,9996000000.0
Change In Other Current Assets,-15957000000.0
Change In Payable,33214000000.0
Change In Inventory,1254000000.0
Change In Receivables,-13194000000.0
Other Non Cash Items,-2032000000.0
Depreciation And Amortization,52558000000.0
Amortization Cash Flow,2170000000.0
Depreciation,50388000000.0
Gain Loss On Investment Securities,-36967000000.0
Net Foreign Currency Exchange Gain Loss,-95000000.0
Gain Loss On Sale Of PPE,1000000000.0
Net Income From Continuing Operations,174245000000.0
