metric,value
Tax Effect Of Unusual Items,8111382696.777526
Tax Rate For Calcs,0.225906
Normalized EBITDA,192833000000.0
Total Unusual Items,35906000000.0
Total Unusual Items Excluding Goodwill,35906000000.0
Net Income From Continuing Operation Net Minority Interest,134882000000.0
Reconciled Depreciation,52558000000.0
Reconciled Cost Of Revenue,1056113000000.0
EBITDA,228739000000.0
EBIT,176181000000.0
Net Interest Income,-1936000000.0
Interest Expense,1936000000.0
Interest Income,3968000000.0
Normalized Income,107087382696.77753
Net Income From Continuing And Discontinued Operation,134882000000.0
Total Expenses,1230782000000.0
Rent Expense Supplemental,324000000.0
Diluted Average Shares,314402574.0
Basic Average Shares,314402574.0
Diluted EPS,429.01
Basic EPS,429.01
Diluted NI Availto Com Stockholders,134882000000.0
Net Income Common Stockholders,134882000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,134882000000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,134882000000.0
Net Income Continuous Operations,134882000000.0
Tax Provision,39363000000.0
Pretax Income,174245000000.0
Other Non Operating Income Expenses,766000000.0
Special Income Charges,-1000000000.0
Other Special Charges,1000000000.0
Net Non Operating Interest Income Expense,2032000000.0
Total Other Finance Cost,
Interest Expense Non Operating,1936000000.0
Interest Income Non Operating,3968000000.0
Operating Income,134056000000.0
Operating Expense,174669000000.0
Other Operating Expenses,50356000000.0
Depreciation And Amortization In Income Statement,52558000000.0
Amortization,2170000000.0
Depreciation Income Statement,52558000000.0
Selling General And Administration,61393000000.0
Selling And Marketing Expense,60553000000.0
General And Administrative Expense,840000000.0
Rent And Landing Fees,324000000.0
Gross Profit,308725000000.0
Cost Of Revenue,1056113000000.0
Total Revenue,1364838000000.0
Operating Revenue,1364838000000.0
