metric,value
Free Cash Flow,32077500000.0
Repayment Of Debt,-569377800000.0
Issuance Of Debt,538799400000.0
Issuance Of Capital Stock,9200000.0
Capital Expenditure,-60398000000.0
End Cash Position,34875900000.0
Other Cash Adjustment Outside Changein Cash,-133600000.0
Beginning Cash Position,33745900000.0
Effect Of Exchange Rate Changes,-127700000.0
Changes In Cash,1391300000.0
Financing Cash Flow,-58826000000.0
Net Other Financing Charges,-2402800000.0
Interest Paid Cff,-6795000000.0
Cash Dividends Paid,-9804400000.0
Net Preferred Stock Issuance,0.0
Preferred Stock Issuance,0.0
Net Common Stock Issuance,9200000.0
Common Stock Issuance,9200000.0
Net Issuance Payments Of Debt,-33430500000.0
Net Short Term Debt Issuance,-2852100000.0
Net Long Term Debt Issuance,-30578400000.0
Long Term Debt Payments,-569377800000.0
Long Term Debt Issuance,538799400000.0
Investing Cash Flow,-32258200000.0
Net Other Investing Changes,1753900000.0
Interest Received Cfi,4195700000.0
Dividends Received Cfi,12470300000.0
Net Investment Purchase And Sale,10507400000.0
Sale Of Investment,739404400000.0
Purchase Of Investment,-728897000000.0
Net Business Purchase And Sale,3530900000.0
Sale Of Business,6173000000.0
Purchase Of Business,-2642100000.0
Net PPE Purchase And Sale,-59198600000.0
Sale Of PPE,1199400000.0
Purchase Of PPE,-60398000000.0
Operating Cash Flow,92475500000.0
Taxes Refund Paid,-15604200000.0
Change In Working Capital,2932600000.0
Change In Payable,49723700000.0
Change In Inventory,-21729900000.0
Change In Receivables,-25061200000.0
Other Non Cash Items,6103800000.0
Stock Based Compensation,1052500000.0
Depreciation And Amortization,35026600000.0
Amortization Cash Flow,9678200000.0
Depreciation,25348400000.0
Gain Loss On Investment Securities,-7740300000.0
Net Foreign Currency Exchange Gain Loss,-653100000.0
Gain Loss On Sale Of PPE,391100000.0
Gain Loss On Sale Of Business,
Net Income From Continuing Operations,70918100000.0
