metric,value
Tax Effect Of Unusual Items,3661094126.659569
Tax Rate For Calcs,0.23207
Normalized EBITDA,262704600000.0
Total Unusual Items,15775800000.0
Total Unusual Items Excluding Goodwill,15775800000.0
Net Income From Continuing Operation Net Minority Interest,112686400000.0
Reconciled Depreciation,45362600000.0
Reconciled Cost Of Revenue,842019500000.0
EBITDA,278480400000.0
EBIT,233117800000.0
Net Interest Income,-66635900000.0
Interest Expense,73339900000.0
Interest Income,8246200000.0
Normalized Income,100571694126.65958
Net Income From Continuing And Discontinued Operation,112686400000.0
Total Expenses,1161931900000.0
Rent Expense Supplemental,23792900000.0
Diluted Average Shares,1118758867.0
Basic Average Shares,1114165864.0
Diluted EPS,100.7
Basic EPS,101.14
Diluted NI Availto Com Stockholders,112659200000.0
Average Dilution Earnings,-27200000.0
Net Income Common Stockholders,112686400000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,112686400000.0
Minority Interests,-10011800000.0
Net Income Including Noncontrolling Interests,122698200000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,122698200000.0
Tax Provision,37079700000.0
Pretax Income,159777900000.0
Other Non Operating Income Expenses,3217400000.0
Special Income Charges,5211800000.0
Other Special Charges,-7087000000.0
Write Off,
Impairment Of Capital Assets,1875200000.0
Net Non Operating Interest Income Expense,-66635900000.0
Total Other Finance Cost,1542200000.0
Interest Expense Non Operating,73339900000.0
Interest Income Non Operating,8246200000.0
Operating Income,196098400000.0
Operating Expense,319912400000.0
Other Operating Expenses,81060000000.0
Depreciation And Amortization In Income Statement,45362600000.0
Amortization,14346200000.0
Depreciation Income Statement,31016400000.0
Selling General And Administration,88216300000.0
Selling And Marketing Expense,77620500000.0
General And Administrative Expense,10595800000.0
Rent And Landing Fees,23792900000.0
Gross Profit,516010800000.0
Cost Of Revenue,842019500000.0
Total Revenue,1358030300000.0
Operating Revenue,1358030300000.0
