metric,value
Tax Effect Of Unusual Items,-61586797.482778
Tax Rate For Calcs,0.265804
Normalized EBITDA,38367200000.0
Total Unusual Items,-231700000.0
Total Unusual Items Excluding Goodwill,-231700000.0
Net Income From Continuing Operation Net Minority Interest,23905200000.0
Reconciled Depreciation,4030100000.0
Reconciled Cost Of Revenue,78989200000.0
EBITDA,38135500000.0
EBIT,34105400000.0
Net Interest Income,-535700000.0
Interest Expense,1545700000.0
Interest Income,1010000000.0
Normalized Income,24075313202.517223
Net Income From Continuing And Discontinued Operation,23905200000.0
Total Expenses,134441900000.0
Rent Expense Supplemental,
Diluted Average Shares,1928616378.0
Basic Average Shares,1928616378.0
Diluted EPS,12.395
Basic EPS,12.395
Diluted NI Availto Com Stockholders,23905200000.0
Net Income Common Stockholders,23905200000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,23905200000.0
Net Income Including Noncontrolling Interests,23905200000.0
Net Income Continuous Operations,23905200000.0
Tax Provision,8654500000.0
Pretax Income,32559700000.0
Other Non Operating Income Expenses,1010000000.0
Special Income Charges,-231700000.0
Other Special Charges,-62600000.0
Impairment Of Capital Assets,294300000.0
Net Non Operating Interest Income Expense,-535700000.0
Interest Expense Non Operating,1545700000.0
Interest Income Non Operating,1010000000.0
Operating Income,33453400000.0
Operating Expense,55452700000.0
Other Operating Expenses,20317200000.0
Depreciation And Amortization In Income Statement,4030100000.0
Depreciation Income Statement,4030100000.0
Research And Development,657600000.0
Selling General And Administration,14987500000.0
Selling And Marketing Expense,14877300000.0
General And Administrative Expense,110200000.0
Rent And Landing Fees,
Gross Profit,88906100000.0
Cost Of Revenue,78989200000.0
Total Revenue,167895300000.0
Operating Revenue,167895300000.0
