metric,value
Tax Effect Of Unusual Items,648991881.433486
Tax Rate For Calcs,0.289341
Normalized EBITDA,582689600000.0
Total Unusual Items,2243000000.0
Total Unusual Items Excluding Goodwill,2243000000.0
Net Income From Continuing Operation Net Minority Interest,197205400000.0
Reconciled Depreciation,174011900000.0
Reconciled Cost Of Revenue,1147270200000.0
EBITDA,584932600000.0
EBIT,410920700000.0
Net Interest Income,-101160700000.0
Interest Expense,125956600000.0
Interest Income,25075200000.0
Normalized Income,195611391881.43347
Net Income From Continuing And Discontinued Operation,197205400000.0
Total Expenses,1499061000000.0
Rent Expense Supplemental,2560600000.0
Diluted Average Shares,9696666134.0
Basic Average Shares,9696666134.0
Diluted EPS,24.16
Basic EPS,24.16
Diluted NI Availto Com Stockholders,234224600000.0
Net Income Common Stockholders,234224600000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,234224600000.0
Minority Interests,-5306900000.0
Net Income Including Noncontrolling Interests,239531500000.0
Net Income Extraordinary,37019200000.0
Net Income Continuous Operations,202512300000.0
Tax Provision,82451800000.0
Pretax Income,284964100000.0
Other Non Operating Income Expenses,10109500000.0
Special Income Charges,2243000000.0
Other Special Charges,-2243000000.0
Write Off,0.0
Net Non Operating Interest Income Expense,-101160700000.0
Total Other Finance Cost,279300000.0
Interest Expense Non Operating,125956600000.0
Interest Income Non Operating,25075200000.0
Operating Income,363401500000.0
Operating Expense,351790800000.0
Other Operating Expenses,55541300000.0
Depreciation And Amortization In Income Statement,174011900000.0
Amortization,446000000.0
Depreciation Income Statement,174011900000.0
Selling General And Administration,63190800000.0
Selling And Marketing Expense,
General And Administrative Expense,6368500000.0
Rent And Landing Fees,2560600000.0
Gross Profit,715192300000.0
Cost Of Revenue,1147270200000.0
Total Revenue,1862462500000.0
Operating Revenue,1862462500000.0
