metric,value
Tax Effect Of Unusual Items,-46515115337.70193
Tax Rate For Calcs,0.239118
Normalized EBITDA,971216790000.0
Total Unusual Items,-194528120000.0
Total Unusual Items Excluding Goodwill,-194528120000.0
Net Income From Continuing Operation Net Minority Interest,367093340000.0
Reconciled Depreciation,258876870000.0
Reconciled Cost Of Revenue,5072473240000.0
EBITDA,776688670000.0
EBIT,517811800000.0
Net Interest Income,-30486320000.0
Interest Expense,70351520000.0
Interest Income,20769850000.0
Normalized Income,515106344662.2981
Net Income From Continuing And Discontinued Operation,367093340000.0
Total Expenses,5621963130000.0
Diluted Average Shares,12580280000.0
Basic Average Shares,12580280000.0
Diluted EPS,29.18
Basic EPS,29.18
Diluted NI Availto Com Stockholders,367093340000.0
Net Income Common Stockholders,367093340000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,367093340000.0
Minority Interests,26628730000.0
Net Income Including Noncontrolling Interests,340464610000.0
Net Income Continuous Operations,340464610000.0
Tax Provision,106995670000.0
Pretax Income,447460280000.0
Other Non Operating Income Expenses,42395550000.0
Special Income Charges,-194493450000.0
Other Special Charges,96399640000.0
Write Off,47754630000.0
Impairment Of Capital Assets,75827590000.0
Restructuring And Mergern Acquisition,-25488410000.0
Net Non Operating Interest Income Expense,-30486320000.0
Total Other Finance Cost,-19095350000.0
Interest Expense Non Operating,70351520000.0
Interest Income Non Operating,20769850000.0
Operating Income,673138310000.0
Operating Expense,549489890000.0
Other Operating Expenses,339943290000.0
Research And Development,5424250000.0
Selling General And Administration,148873860000.0
Selling And Marketing Expense,102983480000.0
General And Administrative Expense,45890380000.0
Gross Profit,1222628200000.0
Cost Of Revenue,5072473240000.0
Total Revenue,6295101440000.0
Operating Revenue,6295101440000.0
