metric,value
Free Cash Flow,120892500000.0
Repayment Of Debt,-157017000000.0
Issuance Of Debt,193243600000.0
Capital Expenditure,-241340400000.0
End Cash Position,37967900000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,34639500000.0
Changes In Cash,3328400000.0
Financing Cash Flow,-123571800000.0
Net Other Financing Charges,
Interest Paid Cff,-92211100000.0
Cash Dividends Paid,-97656400000.0
Net Issuance Payments Of Debt,66385000000.0
Net Short Term Debt Issuance,30158400000.0
Short Term Debt Payments,
Short Term Debt Issuance,
Net Long Term Debt Issuance,36226600000.0
Long Term Debt Payments,-157017000000.0
Long Term Debt Issuance,193243600000.0
Investing Cash Flow,-235332700000.0
Net Other Investing Changes,-12464100000.0
Interest Received Cfi,4845200000.0
Dividends Received Cfi,1815700000.0
Net Investment Purchase And Sale,6336700000.0
Sale Of Investment,23376700000.0
Purchase Of Investment,-17040000000.0
Net Business Purchase And Sale,4704400000.0
Sale Of Business,4704400000.0
Purchase Of Business,
Net PPE Purchase And Sale,-241112700000.0
Sale Of PPE,227700000.0
Purchase Of PPE,-241340400000.0
Operating Cash Flow,362232900000.0
Taxes Refund Paid,-31786500000.0
Change In Working Capital,7094600000.0
Change In Other Current Liabilities,21587600000.0
Change In Other Current Assets,-45057300000.0
Change In Inventory,-3966500000.0
Change In Receivables,34530800000.0
Other Non Cash Items,67085800000.0
Provisionand Write Offof Assets,375500000.0
Depreciation And Amortization,129041500000.0
Depreciation,129041500000.0
Gain Loss On Investment Securities,-1131800000.0
Net Foreign Currency Exchange Gain Loss,2389700000.0
Gain Loss On Sale Of PPE,20000000.0
Gain Loss On Sale Of Business,-2456000000.0
Net Income From Continuing Operations,193526600000.0
