metric,value
Tax Effect Of Unusual Items,4604824511.380191
Tax Rate For Calcs,0.138315
Normalized EBITDA,375921300000.0
Total Unusual Items,33292400000.0
Total Unusual Items Excluding Goodwill,33292400000.0
Net Income From Continuing Operation Net Minority Interest,173538100000.0
Reconciled Depreciation,128716600000.0
Reconciled Cost Of Revenue,13174400000.0
EBITDA,409213700000.0
EBIT,280497100000.0
Net Interest Income,-69615300000.0
Interest Expense,79103300000.0
Interest Income,8620400000.0
Normalized Income,144850524511.3802
Net Income From Continuing And Discontinued Operation,173538100000.0
Total Expenses,175237300000.0
Rent Expense Supplemental,2084800000.0
Diluted Average Shares,9300603818.0
Basic Average Shares,9300603818.0
Diluted EPS,18.09
Basic EPS,18.09
Diluted NI Availto Com Stockholders,168240700000.0
Net Income Common Stockholders,168240700000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,168240700000.0
Net Income Including Noncontrolling Interests,168240700000.0
Net Income Extraordinary,-5297400000.0
Net Income Continuous Operations,173538100000.0
Tax Provision,27855700000.0
Pretax Income,201393800000.0
Other Non Operating Income Expenses,4849000000.0
Special Income Charges,32919200000.0
Other Special Charges,-32919200000.0
Impairment Of Capital Assets,
Net Non Operating Interest Income Expense,-69615300000.0
Total Other Finance Cost,-867600000.0
Interest Expense Non Operating,79103300000.0
Interest Income Non Operating,8620400000.0
Operating Income,232662600000.0
Operating Expense,162062900000.0
Other Operating Expenses,10736200000.0
Depreciation And Amortization In Income Statement,128716600000.0
Amortization,1272500000.0
Depreciation Income Statement,127444100000.0
Research And Development,3400000.0
Selling General And Administration,3425100000.0
Selling And Marketing Expense,91100000.0
General And Administrative Expense,3334000000.0
Rent And Landing Fees,2084800000.0
Gross Profit,394725500000.0
Cost Of Revenue,13174400000.0
Total Revenue,407899900000.0
Operating Revenue,407899900000.0
