metric,value
Free Cash Flow,105090000000.0
Repayment Of Debt,-406470000000.0
Issuance Of Debt,593430000000.0
Issuance Of Capital Stock,397670000000.0
Capital Expenditure,-1001450000000.0
End Cash Position,361780000000.0
Other Cash Adjustment Outside Changein Cash,9410000000.0
Beginning Cash Position,173970000000.0
Changes In Cash,178400000000.0
Financing Cash Flow,172890000000.0
Net Other Financing Charges,4500000000.0
Interest Paid Cff,-263490000000.0
Cash Dividends Paid,-42970000000.0
Net Common Stock Issuance,397670000000.0
Common Stock Issuance,397670000000.0
Net Issuance Payments Of Debt,98500000000.0
Net Short Term Debt Issuance,-88460000000.0
Net Long Term Debt Issuance,186960000000.0
Long Term Debt Payments,-406470000000.0
Long Term Debt Issuance,593430000000.0
Investing Cash Flow,-1101030000000.0
Net Other Investing Changes,-193060000000.0
Interest Received Cfi,59330000000.0
Dividends Received Cfi,190000000.0
Net Investment Purchase And Sale,2590000000.0
Sale Of Investment,6681370000000.0
Purchase Of Investment,-6678780000000.0
Net PPE Purchase And Sale,31370000000.0
Sale Of PPE,31370000000.0
Purchase Of PPE,-1001450000000.0
Capital Expenditure Reported,-1001450000000.0
Operating Cash Flow,1106540000000.0
Taxes Refund Paid,-37970000000.0
Change In Working Capital,7250000000.0
Change In Payable,398880000000.0
Change In Inventory,-249830000000.0
Change In Receivables,-141800000000.0
Other Non Cash Items,23360000000.0
Provisionand Write Offof Assets,360000000.0
Deferred Tax,0.0
Depreciation And Amortization,297820000000.0
Depreciation,297820000000.0
Gain Loss On Investment Securities,-13930000000.0
Net Foreign Currency Exchange Gain Loss,19500000000.0
Gain Loss On Sale Of PPE,400000000.0
Gain Loss On Sale Of Business,-28720000000.0
Net Income From Continuing Operations,841420000000.0
