metric,value
Tax Effect Of Unusual Items,4065480000.0
Tax Rate For Calcs,0.2455
Normalized EBITDA,1752880000000.0
Total Unusual Items,16560000000.0
Total Unusual Items Excluding Goodwill,16560000000.0
Net Income From Continuing Operation Net Minority Interest,696210000000.0
Reconciled Depreciation,508320000000.0
Reconciled Cost Of Revenue,6745990000000.0
EBITDA,1769440000000.0
EBIT,1261120000000.0
Net Interest Income,-111900000000.0
Interest Expense,217720000000.0
Interest Income,107450000000.0
Normalized Income,683715480000.0
Net Income From Continuing And Discontinued Operation,696210000000.0
Total Expenses,7893980000000.0
Rent Expense Supplemental,7150000000.0
Diluted Average Shares,13532481373.0
Basic Average Shares,13531621632.0
Diluted EPS,51.45
Basic EPS,51.45
Diluted NI Availto Com Stockholders,696210000000.0
Net Income Common Stockholders,696210000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,696210000000.0
Minority Interests,-93990000000.0
Net Income Including Noncontrolling Interests,790200000000.0
Net Income Discontinuous Operations,0.0
Net Income Continuous Operations,790200000000.0
Tax Provision,257070000000.0
Pretax Income,1043400000000.0
Other Non Operating Income Expenses,33020000000.0
Special Income Charges,-2650000000.0
Other Special Charges,2650000000.0
Write Off,
Net Non Operating Interest Income Expense,-111900000000.0
Total Other Finance Cost,1630000000.0
Interest Expense Non Operating,217720000000.0
Interest Income Non Operating,107450000000.0
Operating Income,1116660000000.0
Operating Expense,1147990000000.0
Other Operating Expenses,530450000000.0
Selling General And Administration,371420000000.0
Selling And Marketing Expense,209890000000.0
General And Administrative Expense,161530000000.0
Rent And Landing Fees,6010000000.0
Gross Profit,2264650000000.0
Cost Of Revenue,6745990000000.0
Total Revenue,9010640000000.0
Operating Revenue,9010640000000.0
