metric,value
Treasury Shares Number,
Ordinary Shares Number,8924620034.0
Share Issued,8924620034.0
Net Debt,2529243000000.0
Total Debt,6181254399000.0
Tangible Book Value,4856170803000.0
Invested Capital,11051621986000.0
Net Tangible Assets,4856170803000.0
Common Stock Equity,4870367587000.0
Total Capitalization,11051621986000.0
Total Equity Gross Minority Interest,5050625975000.0
Minority Interest,180258388000.0
Stockholders Equity,4870367587000.0
Fixed Assets Revaluation Reserve,273556167000.0
Retained Earnings,1084468560000.0
Additional Paid In Capital,791156048000.0
Capital Stock,8924620000.0
Common Stock,8924620000.0
Total Liabilities Net Minority Interest,68091227433000.0
Derivative Product Liabilities,198463684000.0
Long Term Debt And Capital Lease Obligation,6181254399000.0
Payables,390323300000.0
Accounts Payable,390323300000.0
Total Assets,73141853408000.0
Investments And Advances,22234039266000.0
Investmentin Financial Assets,22055314238000.0
Available For Sale Securities,1366779740000.0
Long Term Equity Investment,178725028000.0
Investmentsin Associatesat Cost,2030579000.0
Investmentsin Subsidiariesat Cost,176694449000.0
Goodwill And Other Intangible Assets,14196784000.0
Goodwill,14196784000.0
Net PPE,463376954000.0
Accumulated Depreciation,-423582775000.0
Gross PPE,886959729000.0
Construction In Progress,5742151000.0
Other Properties,517082247000.0
Properties,364135331000.0
Prepaid Assets,317851576000.0
Receivables,2992518234000.0
Cash And Cash Equivalents,6208491788000.0
Cash Equivalents,301612053000.0
Cash Financial,185914673000.0
Cash Cash Equivalents And Federal Funds Sold,6208491788000.0
