metric,value
Free Cash Flow,174573048000.0
Repurchase Of Capital Stock,
Repayment Of Debt,-142882000000.0
Issuance Of Debt,201646479000.0
Issuance Of Capital Stock,0.0
Capital Expenditure,-41751262000.0
End Cash Position,3265723035000.0
Beginning Cash Position,3183119097000.0
Effect Of Exchange Rate Changes,7759581000.0
Changes In Cash,74844357000.0
Financing Cash Flow,-98962800000.0
Net Other Financing Charges,29013368000.0
Interest Paid Cff,-85892532000.0
Cash Dividends Paid,-100848115000.0
Common Stock Dividend Paid,-100848115000.0
Net Common Stock Issuance,0.0
Common Stock Payments,
Common Stock Issuance,0.0
Net Issuance Payments Of Debt,58764479000.0
Net Long Term Debt Issuance,58764479000.0
Long Term Debt Payments,-142882000000.0
Long Term Debt Issuance,201646479000.0
Investing Cash Flow,-42517153000.0
Dividends Received Cfi,55719000.0
Net Business Purchase And Sale,-821610000.0
Sale Of Business,0.0
Purchase Of Business,-821610000.0
Net Intangibles Purchase And Sale,
Net PPE Purchase And Sale,-41751262000.0
Sale Of PPE,
Purchase Of PPE,
Operating Cash Flow,216324310000.0
Taxes Refund Paid,-312682682000.0
Change In Working Capital,-522230638000.0
Change In Other Current Liabilities,1025002751000.0
Change In Other Current Assets,-462369064000.0
Other Non Cash Items,96615237000.0
Provisionand Write Offof Assets,83090862000.0
Depreciation And Amortization,38491245000.0
Depreciation,38491245000.0
Gain Loss On Investment Securities,-48983591000.0
Gain Loss On Sale Of PPE,252054000.0
Gain Loss On Sale Of Business,0.0
Net Income From Continuing Operations,901864473000.0
